Id, Amenity, Centroid, Geometry
4325114,parking,"POINT (17.250663983833292 49.577492232268533)","LINEARRING (17.250812530517578 49.577713012695312, 17.250831604003906 49.57763671875, 17.250864028930664 49.577484130859375, 17.250898361206055 49.577346801757812, 17.25091552734375 49.577285766601562, 17.250555038452148 49.577251434326172, 17.250396728515625 49.577693939208984, 17.250558853149414 49.57769775390625, 17.250812530517578 49.577713012695312)"
4325123,parking,"POINT (17.254362738759703 49.588329818579759)","LINEARRING (17.255207061767578 49.5879020690918, 17.254205703735352 49.588302612304688, 17.254169464111328 49.588294982910156, 17.254043579101562 49.588275909423828, 17.253635406494141 49.588432312011719, 17.253610610961914 49.58843994140625, 17.253589630126953 49.588443756103516, 17.253564834594727 49.58843994140625, 17.253543853759766 49.588436126708984, 17.25352668762207 49.588428497314453, 17.253513336181641 49.588417053222656, 17.253503799438477 49.588405609130859, 17.253496170043945 49.5883903503418, 17.253496170043945 49.588375091552734, 17.253503799438477 49.588356018066406, 17.253530502319336 49.588336944580078, 17.253395080566406 49.588382720947266, 17.253376007080078 49.588394165039062, 17.253372192382812 49.588405609130859, 17.253372192382812 49.588417053222656, 17.253374099731445 49.588420867919922, 17.253379821777344 49.588428497314453, 17.25364875793457 49.588722229003906, 17.253650665283203 49.588722229003906, 17.2536563873291 49.588722229003906, 17.253660202026367 49.588722229003906, 17.253664016723633 49.588722229003906, 17.253694534301758 49.588752746582031, 17.253688812255859 49.5887565612793, 17.253688812255859 49.588760375976562, 17.253686904907227 49.588764190673828, 17.253702163696289 49.588779449462891, 17.255437850952148 49.588069915771484, 17.255390167236328 49.5880241394043, 17.255388259887695 49.5880241394043, 17.2553768157959 49.588027954101562, 17.25535774230957 49.588027954101562, 17.255348205566406 49.5880241394043, 17.255332946777344 49.5880241394043, 17.255321502685547 49.588016510009766, 17.255304336547852 49.588005065917969, 17.255207061767578 49.5879020690918)"
4645692,parking,"POINT (17.237086803646825 49.603504692646759)","LINEARRING (17.237394332885742 49.6032829284668, 17.237438201904297 49.603324890136719, 17.237462997436523 49.603359222412109, 17.237056732177734 49.603549957275391, 17.237173080444336 49.603656768798828, 17.237146377563477 49.603664398193359, 17.23712158203125 49.603675842285156, 17.237005233764648 49.603572845458984, 17.236787796020508 49.603675842285156, 17.236696243286133 49.603607177734375, 17.237394332885742 49.6032829284668)"
4645713,hospital,"POINT (17.237125302262168 49.583895743874272)","LINEARRING (17.240148544311523 49.581863403320312, 17.239910125732422 49.5814208984375, 17.239828109741211 49.581302642822266, 17.239631652832031 49.581108093261719, 17.2395076751709 49.580890655517578, 17.239377975463867 49.581016540527344, 17.239295959472656 49.580989837646484, 17.239412307739258 49.580631256103516, 17.23936653137207 49.580429077148438, 17.239261627197266 49.5802001953125, 17.239133834838867 49.579975128173828, 17.239072799682617 49.579860687255859, 17.238508224487305 49.579654693603516, 17.238183975219727 49.579750061035156, 17.237882614135742 49.579841613769531, 17.237306594848633 49.580020904541016, 17.236669540405273 49.580265045166016, 17.236000061035156 49.580615997314453, 17.235599517822266 49.580810546875, 17.236221313476562 49.581127166748047, 17.235866546630859 49.581340789794922, 17.236530303955078 49.581691741943359, 17.236286163330078 49.581859588623047, 17.236045837402344 49.582054138183594, 17.235973358154297 49.58221435546875, 17.235517501831055 49.58258056640625, 17.23558235168457 49.582607269287109, 17.235862731933594 49.582756042480469, 17.235862731933594 49.5827522277832, 17.2359676361084 49.582672119140625, 17.236177444458008 49.582778930664062, 17.236133575439453 49.582836151123047, 17.235734939575195 49.583251953125, 17.235361099243164 49.583683013916016, 17.235164642333984 49.583602905273438, 17.234346389770508 49.583290100097656, 17.234174728393555 49.583568572998047, 17.233745574951172 49.58380126953125, 17.233440399169922 49.584144592285156, 17.232997894287109 49.584316253662109, 17.233560562133789 49.58477783203125, 17.233795166015625 49.585010528564453, 17.233982086181641 49.585124969482422, 17.234159469604492 49.585239410400391, 17.234489440917969 49.585441589355469, 17.234043121337891 49.585708618164062, 17.234338760375977 49.58587646484375, 17.235021591186523 49.586326599121094, 17.234916687011719 49.586399078369141, 17.234594345092773 49.586704254150391, 17.2344970703125 49.58685302734375, 17.235542297363281 49.5871696472168, 17.23594856262207 49.5872802734375, 17.236539840698242 49.58740234375, 17.236745834350586 49.587383270263672, 17.23774528503418 49.587577819824219, 17.239322662353516 49.5879020690918, 17.239414215087891 49.587875366210938, 17.239648818969727 49.587810516357422, 17.239772796630859 49.587688446044922, 17.239797592163086 49.587577819824219, 17.239913940429688 49.587188720703125, 17.240415573120117 49.584651947021484, 17.240438461303711 49.584522247314453, 17.240488052368164 49.584278106689453, 17.240495681762695 49.58416748046875, 17.240482330322266 49.584072113037109, 17.240636825561523 49.5839729309082, 17.240764617919922 49.583831787109375, 17.240833282470703 49.583587646484375, 17.240776062011719 49.58319091796875, 17.240713119506836 49.582908630371094, 17.240390777587891 49.582313537597656, 17.240148544311523 49.581863403320312)"
5010346,parking,"POINT (17.264792853507252 49.604474289690309)","LINEARRING (17.264997482299805 49.604129791259766, 17.264995574951172 49.604164123535156, 17.264989852905273 49.604164123535156, 17.264986038208008 49.604160308837891, 17.264978408813477 49.604160308837891, 17.264970779418945 49.604160308837891, 17.264963150024414 49.604160308837891, 17.26495361328125 49.604164123535156, 17.264944076538086 49.604167938232422, 17.264932632446289 49.604175567626953, 17.264926910400391 49.60418701171875, 17.264925003051758 49.604206085205078, 17.264957427978516 49.6046028137207, 17.264865875244141 49.604667663574219, 17.264852523803711 49.604679107666016, 17.264842987060547 49.604694366455078, 17.264833450317383 49.604709625244141, 17.264829635620117 49.6047248840332, 17.264829635620117 49.604736328125, 17.264833450317383 49.604751586914062, 17.264839172363281 49.604766845703125, 17.264848709106445 49.604782104492188, 17.264865875244141 49.60479736328125, 17.264915466308594 49.604827880859375, 17.264822006225586 49.604812622070312, 17.264692306518555 49.604785919189453, 17.264715194702148 49.604785919189453, 17.264734268188477 49.604782104492188, 17.264743804931641 49.604778289794922, 17.26475715637207 49.604770660400391, 17.2647705078125 49.604751586914062, 17.264774322509766 49.604740142822266, 17.264774322509766 49.6047248840332, 17.264768600463867 49.604709625244141, 17.264759063720703 49.604694366455078, 17.264747619628906 49.604682922363281, 17.264736175537109 49.60467529296875, 17.264711380004883 49.604671478271484, 17.264575958251953 49.604633331298828, 17.264568328857422 49.604434967041016, 17.264566421508789 49.604320526123047, 17.264564514160156 49.604301452636719, 17.264568328857422 49.604290008544922, 17.26457405090332 49.604278564453125, 17.264581680297852 49.604267120361328, 17.264596939086914 49.604255676269531, 17.264621734619141 49.6042366027832, 17.264692306518555 49.604194641113281, 17.264707565307617 49.60418701171875, 17.264741897583008 49.604171752929688, 17.26475715637207 49.604164123535156, 17.264894485473633 49.604118347167969, 17.264986038208008 49.604087829589844, 17.264997482299805 49.604129791259766)"
5082478,parking,"POINT (17.247366121252035 49.576149386413718)","LINEARRING (17.246837615966797 49.576290130615234, 17.246768951416016 49.5762939453125, 17.2467098236084 49.575870513916016, 17.247413635253906 49.575584411621094, 17.247499465942383 49.576271057128906, 17.248022079467773 49.576244354248047, 17.248044967651367 49.5765266418457, 17.247825622558594 49.576545715332031, 17.247776031494141 49.5765495300293, 17.247739791870117 49.576545715332031, 17.247688293457031 49.576534271240234, 17.247333526611328 49.576480865478516, 17.247322082519531 49.576351165771484, 17.247314453125 49.57623291015625, 17.246944427490234 49.576255798339844, 17.246837615966797 49.576290130615234)"
5170024,parking,"POINT (17.246449217645083 49.578157522083117)","LINEARRING (17.246551513671875 49.57806396484375, 17.246562957763672 49.578292846679688, 17.246496200561523 49.578304290771484, 17.2464599609375 49.578304290771484, 17.246410369873047 49.578304290771484, 17.246349334716797 49.578292846679688, 17.2463321685791 49.578071594238281, 17.24639892578125 49.578056335449219, 17.246393203735352 49.578041076660156, 17.246387481689453 49.578033447265625, 17.246377944946289 49.578022003173828, 17.246442794799805 49.578022003173828, 17.246509552001953 49.578022003173828, 17.246496200561523 49.578033447265625, 17.246488571166992 49.578041076660156, 17.246482849121094 49.578056335449219, 17.246551513671875 49.57806396484375)"
5173239,parking,"POINT (17.24409799943405 49.578146453535588)","LINEARRING (17.2445125579834 49.578102111816406, 17.2445011138916 49.578125, 17.244491577148438 49.578147888183594, 17.244440078735352 49.578147888183594, 17.244424819946289 49.578193664550781, 17.243730545043945 49.578216552734375, 17.24372673034668 49.578155517578125, 17.243715286254883 49.578079223632812, 17.243913650512695 49.578071594238281, 17.243955612182617 49.578109741210938, 17.244304656982422 49.578102111816406, 17.244419097900391 49.578098297119141, 17.244461059570312 49.578098297119141, 17.244487762451172 49.578102111816406, 17.2445125579834 49.578102111816406)"
5200680,parking,"POINT (17.229635832687173 49.574246772507536)","LINEARRING (17.230171203613281 49.574150085449219, 17.23028564453125 49.574203491210938, 17.2303524017334 49.574237823486328, 17.230466842651367 49.574291229248047, 17.230556488037109 49.574333190917969, 17.23042106628418 49.574447631835938, 17.230060577392578 49.574272155761719, 17.22967529296875 49.574626922607422, 17.229520797729492 49.574554443359375, 17.229227066040039 49.574825286865234, 17.229024887084961 49.574733734130859, 17.2290096282959 49.574729919433594, 17.22899055480957 49.574722290039062, 17.228973388671875 49.574722290039062, 17.228954315185547 49.574737548828125, 17.228879928588867 49.574802398681641, 17.228548049926758 49.574642181396484, 17.228490829467773 49.574546813964844, 17.22840690612793 49.574504852294922, 17.228244781494141 49.574497222900391, 17.22816276550293 49.574459075927734, 17.2281551361084 49.574378967285156, 17.228752136230469 49.573867797851562, 17.229085922241211 49.574043273925781, 17.229118347167969 49.574058532714844, 17.229339599609375 49.574169158935547, 17.229318618774414 49.574184417724609, 17.229284286499023 49.5742073059082, 17.229310989379883 49.57421875, 17.229335784912109 49.574222564697266, 17.229360580444336 49.574226379394531, 17.229385375976562 49.574222564697266, 17.229423522949219 49.5742073059082, 17.229475021362305 49.574176788330078, 17.229536056518555 49.574203491210938, 17.229555130004883 49.574214935302734, 17.229583740234375 49.574237823486328, 17.229646682739258 49.574188232421875, 17.229700088500977 49.574222564697266, 17.229713439941406 49.5742073059082, 17.229724884033203 49.574199676513672, 17.229782104492188 49.574150085449219, 17.229816436767578 49.574119567871094, 17.229764938354492 49.574100494384766, 17.23027229309082 49.573665618896484, 17.230489730834961 49.573772430419922, 17.230567932128906 49.573814392089844, 17.230670928955078 49.573867797851562, 17.230766296386719 49.573917388916016, 17.230964660644531 49.574016571044922, 17.230693817138672 49.574264526367188, 17.230636596679688 49.574234008789062, 17.230569839477539 49.574199676513672, 17.230550765991211 49.57421875, 17.230436325073242 49.574165344238281, 17.230369567871094 49.574134826660156, 17.230255126953125 49.574081420898438, 17.230171203613281 49.574150085449219)"
5548223,parking,"POINT (17.298609779191821 49.5978160808563)","LINEARRING (17.298952102661133 49.597846984863281, 17.298311233520508 49.597965240478516, 17.298294067382812 49.597881317138672, 17.298305511474609 49.597831726074219, 17.298341751098633 49.5977897644043, 17.298385620117188 49.597759246826172, 17.298612594604492 49.597675323486328, 17.298666000366211 49.597663879394531, 17.298742294311523 49.597660064697266, 17.29875373840332 49.597663879394531, 17.298826217651367 49.597686767578125, 17.298894882202148 49.597743988037109, 17.298912048339844 49.597797393798828, 17.298952102661133 49.597846984863281)"
