Id, Road Name, Road Type, One Way, Lanes, Geometry
4255658,,residential,,,"LINESTRING (17.263675689697266 49.594623565673828, 17.263330459594727 49.594230651855469, 17.2630558013916 49.593914031982422, 17.262920379638672 49.5937614440918, 17.262836456298828 49.593681335449219, 17.262775421142578 49.593643188476562)"
4261243,,primary,yes,,"LINESTRING (17.27973747253418 49.587726593017578, 17.27998161315918 49.587764739990234)"
4277585,,tertiary,,,"LINESTRING (17.277790069580078 49.589645385742188, 17.277866363525391 49.589653015136719, 17.277935028076172 49.589679718017578, 17.277984619140625 49.589717864990234, 17.27801513671875 49.589763641357422, 17.278020858764648 49.589817047119141, 17.27800178527832 49.589862823486328, 17.277957916259766 49.589908599853516, 17.277898788452148 49.589939117431641, 17.277843475341797 49.5899543762207, 17.277786254882812 49.589958190917969, 17.277729034423828 49.5899543762207, 17.277666091918945 49.589939117431641, 17.277610778808594 49.589916229248047, 17.277570724487305 49.589881896972656, 17.277542114257812 49.589836120605469, 17.277536392211914 49.589790344238281, 17.277551651000977 49.589744567871094, 17.277587890625 49.589702606201172, 17.277641296386719 49.589672088623047, 17.277713775634766 49.589649200439453, 17.277790069580078 49.589645385742188)"
4277856,17. listopadu,tertiary,,,"LINESTRING (17.264467239379883 49.594318389892578, 17.264562606811523 49.594436645507812, 17.264871597290039 49.594772338867188, 17.264944076538086 49.594852447509766, 17.265186309814453 49.595138549804688, 17.265607833862305 49.5955696105957, 17.265790939331055 49.59576416015625, 17.265892028808594 49.595859527587891, 17.265901565551758 49.595867156982422)"
4277919,Jiřího z Poděbrad,residential,yes,,"LINESTRING (17.262462615966797 49.595108032226562, 17.262563705444336 49.595176696777344, 17.262611389160156 49.595207214355469, 17.26289176940918 49.595363616943359, 17.2634334564209 49.595649719238281, 17.26371955871582 49.595809936523438, 17.263898849487305 49.595962524414062, 17.264060974121094 49.596141815185547)"
4278043,,primary_link,yes,,"LINESTRING (17.276891708374023 49.588584899902344, 17.276824951171875 49.588508605957031, 17.276784896850586 49.588356018066406, 17.276744842529297 49.587974548339844, 17.276716232299805 49.587734222412109, 17.276679992675781 49.587261199951172, 17.276666641235352 49.587173461914062)"
4278044,,primary_link,yes,,"LINESTRING (17.274587631225586 49.585906982421875, 17.274993896484375 49.586040496826172, 17.275232315063477 49.586135864257812, 17.275503158569336 49.586238861083984, 17.275796890258789 49.586360931396484, 17.276166915893555 49.586532592773438, 17.276695251464844 49.586772918701172)"
4278045,Smetanova,tertiary,,,"LINESTRING (17.276891708374023 49.588584899902344, 17.27708625793457 49.588920593261719, 17.277267456054688 49.589176177978516, 17.277353286743164 49.589305877685547, 17.2775821685791 49.589595794677734, 17.277641296386719 49.589672088623047)"
4280901,Jeremenkova,tertiary,,,"LINESTRING (17.277898788452148 49.589939117431641, 17.278018951416016 49.590156555175781, 17.278099060058594 49.590381622314453, 17.278106689453125 49.590568542480469, 17.2780704498291 49.590713500976562, 17.277738571166992 49.591281890869141)"
4280902,,primary_link,yes,,"LINESTRING (17.267623901367188 49.583091735839844, 17.268138885498047 49.583110809326172, 17.268398284912109 49.583110809326172, 17.26862907409668 49.583091735839844, 17.268886566162109 49.583038330078125, 17.268955230712891 49.583015441894531, 17.269186019897461 49.582973480224609, 17.269552230834961 49.582862854003906, 17.269796371459961 49.582851409912109)"
4280904,,primary_link,yes,,"LINESTRING (17.267955780029297 49.584388732910156, 17.268171310424805 49.584178924560547, 17.268310546875 49.584053039550781, 17.268394470214844 49.583927154541016, 17.268424987792969 49.583793640136719, 17.268411636352539 49.583702087402344, 17.268344879150391 49.583583831787109, 17.2681941986084 49.583431243896484, 17.267856597900391 49.583259582519531)"
4310332,Jiráskova,residential,,,"LINESTRING (17.286006927490234 49.591644287109375, 17.285993576049805 49.591640472412109, 17.285770416259766 49.591571807861328, 17.285179138183594 49.591358184814453, 17.28388786315918 49.590869903564453, 17.282869338989258 49.590496063232422, 17.282230377197266 49.590251922607422)"
4325191,Velkomoravská,primary,yes,2,"LINESTRING (17.274587631225586 49.585906982421875, 17.276203155517578 49.586673736572266, 17.276571273803711 49.58685302734375, 17.277095794677734 49.587078094482422)"
