Id, Rail Type, Bridge, Geometry
4297704,rail,,"LINESTRING (17.274110794067383 49.602085113525391, 17.273914337158203 49.602523803710938, 17.273723602294922 49.602928161621094, 17.2735652923584 49.6032829284668, 17.273233413696289 49.604000091552734, 17.273117065429688 49.604244232177734, 17.272903442382812 49.604709625244141, 17.272632598876953 49.60528564453125, 17.272079467773438 49.606498718261719, 17.270946502685547 49.608955383300781, 17.270475387573242 49.6099739074707, 17.270036697387695 49.610927581787109, 17.269784927368164 49.611473083496094, 17.269695281982422 49.611667633056641)"
4968473,tram,,"LINESTRING (17.251840591430664 49.596210479736328, 17.251636505126953 49.596275329589844, 17.251604080200195 49.596286773681641, 17.2512264251709 49.596343994140625, 17.250686645507812 49.596332550048828, 17.250600814819336 49.596328735351562, 17.250265121459961 49.5963134765625, 17.249971389770508 49.596328735351562)"
5173671,rail,,"LINESTRING (17.279874801635742 49.589550018310547, 17.279481887817383 49.590457916259766, 17.279155731201172 49.591178894042969, 17.278352737426758 49.592903137207031, 17.278110504150391 49.593421936035156, 17.2778377532959 49.594017028808594)"
5173763,rail,,"LINESTRING (17.276697158813477 49.596500396728516, 17.276626586914062 49.596649169921875, 17.276395797729492 49.5971565246582, 17.276248931884766 49.597461700439453, 17.276029586791992 49.597934722900391, 17.275110244750977 49.599796295166016, 17.274658203125 49.600753784179688, 17.274513244628906 49.6010627746582, 17.27415657043457 49.601844787597656)"
5173764,rail,yes,"LINESTRING (17.274219512939453 49.601856231689453, 17.274110794067383 49.602085113525391)"
6073009,tram,,"LINESTRING (17.251840591430664 49.596210479736328, 17.252046585083008 49.596176147460938, 17.253030776977539 49.596340179443359, 17.253879547119141 49.596481323242188)"
8073605,tram,,"LINESTRING (17.264015197753906 49.589794158935547, 17.263095855712891 49.589714050292969, 17.262882232666016 49.589687347412109, 17.262065887451172 49.589591979980469, 17.26127815246582 49.5894889831543, 17.261007308959961 49.589447021484375, 17.260702133178711 49.589401245117188, 17.25993537902832 49.589260101318359, 17.259502410888672 49.589179992675781, 17.258398056030273 49.588985443115234, 17.257766723632812 49.588871002197266, 17.257688522338867 49.588859558105469)"
8073606,tram,yes,"LINESTRING (17.265052795410156 49.589878082275391, 17.264015197753906 49.589794158935547)"
8164228,tram,,"LINESTRING (17.242599487304688 49.586109161376953, 17.242527008056641 49.585914611816406, 17.242490768432617 49.58575439453125, 17.242452621459961 49.585506439208984, 17.242378234863281 49.585292816162109, 17.242183685302734 49.584941864013672, 17.241861343383789 49.584335327148438, 17.241630554199219 49.583919525146484, 17.241586685180664 49.583839416503906)"
15679024,tram,,"LINESTRING (17.279644012451172 49.595909118652344, 17.279748916625977 49.5958366394043, 17.279869079589844 49.595748901367188, 17.280248641967773 49.595493316650391, 17.280599594116211 49.595237731933594, 17.2807559967041 49.595157623291016, 17.281505584716797 49.594810485839844, 17.281822204589844 49.59466552734375, 17.282758712768555 49.594242095947266, 17.283210754394531 49.593994140625, 17.28364372253418 49.593692779541016, 17.283821105957031 49.593563079833984, 17.284318923950195 49.59320068359375, 17.284702301025391 49.592918395996094, 17.285051345825195 49.592655181884766, 17.285257339477539 49.59246826171875, 17.285266876220703 49.592460632324219, 17.285358428955078 49.592376708984375, 17.285854339599609 49.591823577880859, 17.285993576049805 49.591640472412109, 17.286087036132812 49.591506958007812, 17.286266326904297 49.591255187988281, 17.28639030456543 49.591091156005859, 17.286497116088867 49.5909538269043, 17.286657333374023 49.590778350830078, 17.287040710449219 49.590400695800781, 17.287082672119141 49.590259552001953, 17.287076950073242 49.5902099609375, 17.287042617797852 49.590122222900391, 17.286983489990234 49.590057373046875, 17.286401748657227 49.589797973632812, 17.286050796508789 49.589641571044922, 17.285671234130859 49.589473724365234, 17.285287857055664 49.589309692382812, 17.284988403320312 49.589176177978516, 17.283884048461914 49.588687896728516, 17.283632278442383 49.588577270507812, 17.283121109008789 49.588459014892578, 17.282848358154297 49.588413238525391, 17.281490325927734 49.588203430175781, 17.280998229980469 49.588127136230469)"
16914587,rail,yes,"LINESTRING (17.259349822998047 49.585845947265625, 17.259990692138672 49.586063385009766)"
16914590,rail,,"LINESTRING (17.259990692138672 49.586063385009766, 17.260471343994141 49.586238861083984, 17.260675430297852 49.586326599121094, 17.260828018188477 49.586406707763672, 17.260984420776367 49.586502075195312, 17.261146545410156 49.586605072021484, 17.2613525390625 49.586738586425781, 17.261936187744141 49.587127685546875, 17.2625675201416 49.5875358581543, 17.262748718261719 49.587619781494141, 17.26289176940918 49.587673187255859, 17.262969970703125 49.587703704833984, 17.263139724731445 49.587753295898438, 17.263193130493164 49.587772369384766, 17.263280868530273 49.587795257568359, 17.26338005065918 49.587821960449219, 17.263572692871094 49.587856292724609, 17.263803482055664 49.587890625)"
22311481,rail,,"LINESTRING (17.14532470703125 49.638038635253906, 17.144962310791016 49.638206481933594, 17.144735336303711 49.6383171081543, 17.143617630004883 49.638957977294922, 17.143117904663086 49.639244079589844, 17.142520904541016 49.63958740234375, 17.142314910888672 49.639694213867188, 17.142059326171875 49.639797210693359, 17.141819000244141 49.639873504638672, 17.141592025756836 49.63995361328125, 17.141284942626953 49.640041351318359)"
22818735,rail,,"LINESTRING (17.264499664306641 49.587978363037109, 17.264690399169922 49.588005065917969, 17.264804840087891 49.588020324707031, 17.265834808349609 49.588157653808594, 17.266138076782227 49.588176727294922, 17.266386032104492 49.588188171386719, 17.266632080078125 49.588180541992188, 17.266853332519531 49.588161468505859, 17.267116546630859 49.588130950927734, 17.267368316650391 49.588100433349609, 17.267753601074219 49.588047027587891, 17.268117904663086 49.587993621826172, 17.268308639526367 49.587959289550781, 17.268529891967773 49.587913513183594, 17.26872444152832 49.587856292724609, 17.26890754699707 49.587791442871094, 17.26911735534668 49.58770751953125, 17.269241333007812 49.587646484375, 17.269439697265625 49.587543487548828, 17.26966667175293 49.587409973144531, 17.270097732543945 49.587127685546875, 17.270133972167969 49.587108612060547, 17.270298004150391 49.587005615234375, 17.271827697753906 49.586025238037109, 17.272895812988281 49.5853271484375, 17.273698806762695 49.584831237792969, 17.27447509765625 49.5843391418457, 17.275053024291992 49.583969116210938, 17.2752628326416 49.5838508605957, 17.275497436523438 49.583736419677734, 17.275825500488281 49.583614349365234)"
22818737,rail,yes,"LINESTRING (17.263803482055664 49.587890625, 17.264499664306641 49.587978363037109)"
23597168,tram,,"LINESTRING (17.276618957519531 49.592693328857422, 17.2764835357666 49.5922966003418, 17.276453018188477 49.592205047607422, 17.276403427124023 49.592136383056641, 17.276374816894531 49.59210205078125, 17.276241302490234 49.592041015625, 17.27549934387207 49.591869354248047, 17.274076461791992 49.591526031494141, 17.273889541625977 49.591484069824219, 17.273656845092773 49.591426849365234, 17.272581100463867 49.591163635253906, 17.270275115966797 49.590606689453125, 17.270214080810547 49.590595245361328, 17.269962310791016 49.590534210205078, 17.269765853881836 49.590488433837891, 17.269550323486328 49.590438842773438, 17.268905639648438 49.590297698974609, 17.268524169921875 49.5902214050293, 17.268087387084961 49.590156555175781, 17.2674617767334 49.590080261230469, 17.267419815063477 49.5900764465332, 17.26628303527832 49.589973449707031, 17.265052795410156 49.589878082275391)"
23638006,rail,,"LINESTRING (17.223901748657227 49.616691589355469, 17.222831726074219 49.618545532226562, 17.222585678100586 49.618968963623047, 17.222318649291992 49.619415283203125, 17.222190856933594 49.619632720947266, 17.222095489501953 49.619781494140625, 17.221958160400391 49.619960784912109)"
