id, road_name, road_type, one_way, lanes, bridge, geometry
4040175,,motorway_link,yes,1,,"LINESTRING (17.2209529876709 49.562705993652344, 17.220422744750977 49.563606262207031)"
4250521,,trunk_link,,,,"LINESTRING (17.188993453979492 49.613124847412109, 17.188793182373047 49.613162994384766, 17.188589096069336 49.613265991210938, 17.188398361206055 49.613388061523438, 17.188192367553711 49.6136589050293, 17.188117980957031 49.613925933837891, 17.188154220581055 49.614173889160156)"
4250527,,trunk_link,,,,"LINESTRING (17.1905574798584 49.61505126953125, 17.190805435180664 49.614898681640625, 17.191032409667969 49.614730834960938, 17.191215515136719 49.6144905090332, 17.191255569458008 49.614200592041016)"
4252994,,motorway,yes,2,,"LINESTRING (17.189001083374023 49.614749908447266, 17.188787460327148 49.614891052246094, 17.188093185424805 49.615318298339844, 17.186962127685547 49.615959167480469, 17.186206817626953 49.61639404296875, 17.18341064453125 49.617958068847656, 17.180295944213867 49.619583129882812, 17.178369522094727 49.620613098144531, 17.175958633422852 49.621894836425781, 17.173843383789062 49.623046875, 17.172222137451172 49.623882293701172, 17.168657302856445 49.625789642333984, 17.164680480957031 49.627899169921875, 17.16241455078125 49.629108428955078, 17.160133361816406 49.630321502685547, 17.156759262084961 49.632125854492188, 17.15571403503418 49.632698059082031, 17.153377532958984 49.633892059326172, 17.152126312255859 49.634513854980469, 17.151166915893555 49.634952545166016, 17.149543762207031 49.635662078857422, 17.143875122070312 49.637985229492188, 17.141691207885742 49.639041900634766, 17.140716552734375 49.639598846435547)"
4253034,Květinová,secondary,,,,"LINESTRING (17.191215515136719 49.615871429443359, 17.193035125732422 49.615242004394531, 17.194646835327148 49.61468505859375, 17.195417404174805 49.614418029785156)"
4253035,Topolanská,tertiary,,,,"LINESTRING (17.191215515136719 49.615871429443359, 17.191041946411133 49.615657806396484, 17.1905574798584 49.61505126953125, 17.190114974975586 49.614509582519531)"
4253036,Večeřova,tertiary,,,,"LINESTRING (17.19810676574707 49.615291595458984, 17.198129653930664 49.615318298339844, 17.198158264160156 49.6153678894043, 17.198165893554688 49.615406036376953, 17.19816780090332 49.615447998046875, 17.198154449462891 49.615535736083984, 17.198110580444336 49.615730285644531, 17.198095321655273 49.6158332824707, 17.198089599609375 49.615898132324219, 17.198080062866211 49.615985870361328, 17.198137283325195 49.616249084472656, 17.198226928710938 49.616508483886719, 17.19842529296875 49.61676025390625, 17.198684692382812 49.61700439453125, 17.1987247467041 49.617218017578125, 17.198749542236328 49.617576599121094, 17.198812484741211 49.617816925048828, 17.198945999145508 49.618038177490234, 17.19917106628418 49.618320465087891, 17.200691223144531 49.620353698730469, 17.201023101806641 49.620780944824219, 17.201213836669922 49.621040344238281)"
4253104,,motorway_link,yes,2,,"LINESTRING (17.208364486694336 49.566989898681641, 17.20707893371582 49.5662727355957, 17.202465057373047 49.563632965087891)"
4253148,Brněnská,primary,yes,2,,"LINESTRING (17.230514526367188 49.572368621826172, 17.231035232543945 49.572467803955078, 17.231386184692383 49.572544097900391, 17.231773376464844 49.572647094726562, 17.232412338256836 49.572830200195312, 17.232572555541992 49.5728759765625, 17.23291015625 49.572990417480469, 17.233375549316406 49.573154449462891, 17.233823776245117 49.573333740234375, 17.234766006469727 49.57379150390625, 17.234809875488281 49.573818206787109, 17.235563278198242 49.57427978515625, 17.236042022705078 49.574626922607422, 17.236541748046875 49.575019836425781)"
4253188,,primary,yes,2,,"LINESTRING (17.379949569702148 49.579437255859375, 17.378759384155273 49.580570220947266, 17.375375747680664 49.584056854248047, 17.374645233154297 49.584560394287109, 17.373922348022461 49.585006713867188, 17.373428344726562 49.585273742675781, 17.372903823852539 49.585502624511719, 17.372341156005859 49.585723876953125, 17.371622085571289 49.585918426513672, 17.370712280273438 49.586174011230469, 17.3690185546875 49.586433410644531)"
4253189,,motorway,yes,2,,"LINESTRING (17.405345916748047 49.583465576171875, 17.40403938293457 49.582969665527344, 17.399938583374023 49.581348419189453, 17.398420333862305 49.580829620361328, 17.396402359008789 49.580238342285156, 17.393016815185547 49.579360961914062, 17.38911247253418 49.578506469726562, 17.386377334594727 49.578044891357422, 17.383464813232422 49.577629089355469)"
4255658,,residential,,,,"LINESTRING (17.263675689697266 49.594623565673828, 17.263330459594727 49.594230651855469, 17.2630558013916 49.593914031982422, 17.262920379638672 49.5937614440918, 17.262836456298828 49.593681335449219, 17.262775421142578 49.593643188476562)"
4255659,,trunk,,1,,"LINESTRING (17.218404769897461 49.603801727294922, 17.218460083007812 49.603778839111328, 17.21851921081543 49.603759765625, 17.218608856201172 49.603740692138672, 17.21870231628418 49.603729248046875, 17.21879768371582 49.603725433349609, 17.218893051147461 49.603733062744141, 17.218986511230469 49.6037483215332, 17.219072341918945 49.603775024414062, 17.219114303588867 49.603790283203125, 17.219154357910156 49.603809356689453, 17.219247817993164 49.603862762451172, 17.219322204589844 49.603927612304688, 17.219375610351562 49.60400390625, 17.219404220581055 49.604084014892578, 17.21940803527832 49.604164123535156, 17.219398498535156 49.604217529296875, 17.219377517700195 49.604267120361328, 17.21934700012207 49.604316711425781, 17.219306945800781 49.604362487792969, 17.219257354736328 49.604404449462891, 17.219200134277344 49.604442596435547, 17.219137191772461 49.604476928710938, 17.219066619873047 49.6045036315918, 17.218992233276367 49.604522705078125, 17.218914031982422 49.604537963867188, 17.218822479248047 49.604549407958984, 17.218729019165039 49.604549407958984, 17.218637466430664 49.604537963867188, 17.218549728393555 49.604522705078125, 17.218463897705078 49.604496002197266, 17.218387603759766 49.604465484619141, 17.218318939208984 49.604423522949219, 17.218250274658203 49.6043701171875, 17.218196868896484 49.60430908203125, 17.218160629272461 49.604244232177734, 17.218141555786133 49.604175567626953, 17.218143463134766 49.604087829589844, 17.218172073364258 49.60400390625, 17.218227386474609 49.603927612304688, 17.218305587768555 49.603858947753906, 17.218404769897461 49.603801727294922)"
4255699,Pražská,primary,yes,2,,"LINESTRING (17.231239318847656 49.598869323730469, 17.230897903442383 49.599246978759766)"
4258713,Velkomoravská,primary,yes,2,,"LINESTRING (17.243659973144531 49.582759857177734, 17.244638442993164 49.5825080871582, 17.245349884033203 49.582324981689453, 17.246761322021484 49.581939697265625, 17.24708366394043 49.58184814453125, 17.248128890991211 49.581600189208984, 17.248834609985352 49.581439971923828, 17.24891471862793 49.581424713134766, 17.249040603637695 49.581394195556641)"
4258741,Polská,tertiary,,,,"LINESTRING (17.253927230834961 49.585483551025391, 17.253700256347656 49.585456848144531, 17.252885818481445 49.585376739501953, 17.252155303955078 49.585319519042969, 17.25016975402832 49.585151672363281, 17.249294281005859 49.585079193115234)"
4258742,Schweitzerova,tertiary,,,,"LINESTRING (17.249294281005859 49.585079193115234, 17.249317169189453 49.584747314453125, 17.24934196472168 49.584434509277344, 17.249361038208008 49.584152221679688, 17.249378204345703 49.583877563476562, 17.249443054199219 49.582973480224609)"
4258743,,primary_link,yes,,,"LINESTRING (17.250406265258789 49.581260681152344, 17.249654769897461 49.581428527832031, 17.249551773071289 49.58148193359375, 17.249490737915039 49.581512451171875, 17.249416351318359 49.581577301025391, 17.2493839263916 49.581634521484375, 17.249364852905273 49.581718444824219, 17.249378204345703 49.581935882568359)"
4258744,,primary_link,yes,,,"LINESTRING (17.249008178710938 49.580879211425781, 17.249116897583008 49.581096649169922, 17.249164581298828 49.581157684326172, 17.249210357666016 49.581195831298828, 17.249279022216797 49.581222534179688, 17.249338150024414 49.581233978271484, 17.249408721923828 49.581249237060547, 17.249549865722656 49.581253051757812, 17.249805450439453 49.581241607666016)"
4258750,,track,,,yes,"LINESTRING (17.218160629272461 49.601318359375, 17.21795654296875 49.601112365722656)"
4258752,,service,,,,"LINESTRING (17.21827507019043 49.60113525390625, 17.218738555908203 49.601619720458984, 17.219135284423828 49.601993560791016)"
4258753,,unclassified,,,,"LINESTRING (17.217514038085938 49.601318359375, 17.217544555664062 49.601295471191406, 17.217584609985352 49.601280212402344, 17.217628479003906 49.601268768310547, 17.217674255371094 49.601264953613281, 17.217720031738281 49.601268768310547, 17.217765808105469 49.601280212402344, 17.217803955078125 49.601295471191406, 17.217836380004883 49.601318359375, 17.217859268188477 49.601341247558594, 17.217872619628906 49.601364135742188, 17.217878341674805 49.601394653320312, 17.217876434326172 49.601421356201172, 17.217863082885742 49.601448059082031, 17.217844009399414 49.601470947265625, 17.217815399169922 49.601493835449219, 17.217782974243164 49.601509094238281, 17.217741012573242 49.601520538330078, 17.217695236206055 49.601528167724609, 17.217647552490234 49.601528167724609, 17.21760368347168 49.601520538330078, 17.217561721801758 49.601505279541016, 17.217525482177734 49.601486206054688, 17.217498779296875 49.601459503173828, 17.21748161315918 49.601432800292969, 17.217473983764648 49.601402282714844, 17.217475891113281 49.601371765136719, 17.217489242553711 49.601345062255859, 17.217514038085938 49.601318359375)"
4258754,,unclassified,,1,,"LINESTRING (17.217782974243164 49.601509094238281, 17.21812629699707 49.601852416992188, 17.21861457824707 49.602344512939453, 17.218816757202148 49.602687835693359, 17.218910217285156 49.603107452392578, 17.218868255615234 49.603515625)"
4260555,Pražská,primary_link,yes,2,,"LINESTRING (17.219154357910156 49.603809356689453, 17.219411849975586 49.6038818359375, 17.219654083251953 49.603927612304688, 17.219825744628906 49.603923797607422, 17.220062255859375 49.603900909423828)"
4261183,Hněvotínská,residential,,,,"LINESTRING (17.2215633392334 49.58306884765625, 17.221944808959961 49.583160400390625, 17.222373962402344 49.583255767822266, 17.222536087036133 49.583297729492188)"
4261184,,footway,,,yes,"LINESTRING (17.246772766113281 49.588748931884766, 17.246662139892578 49.588764190673828, 17.246082305908203 49.588218688964844, 17.246055603027344 49.588165283203125, 17.246084213256836 49.588100433349609, 17.246177673339844 49.588062286376953, 17.246269226074219 49.58807373046875, 17.246339797973633 49.588119506835938, 17.246330261230469 49.588199615478516, 17.246227264404297 49.588260650634766)"
4261185,,footway,,,yes,"LINESTRING (17.246662139892578 49.588764190673828, 17.246206283569336 49.589248657226562, 17.247104644775391 49.590015411376953, 17.246206283569336 49.590583801269531)"
4261186,,footway,,,,"LINESTRING (17.246227264404297 49.588260650634766, 17.246038436889648 49.588352203369141)"
4261240,,primary_link,yes,,,"LINESTRING (17.248128890991211 49.581600189208984, 17.24873161315918 49.581390380859375, 17.248786926269531 49.581356048583984, 17.248834609985352 49.581314086914062, 17.248891830444336 49.581249237060547, 17.248937606811523 49.581161499023438, 17.248956680297852 49.580982208251953)"
4261241,,primary_link,yes,,,"LINESTRING (17.249378204345703 49.581935882568359, 17.249160766601562 49.581722259521484, 17.249080657958984 49.5816535949707, 17.24901008605957 49.581623077392578, 17.248769760131836 49.581607818603516, 17.248380661010742 49.581649780273438)"
4261242,Velkomoravská,primary,yes,2,,"LINESTRING (17.249086380004883 49.581489562988281, 17.24896240234375 49.581516265869141, 17.248380661010742 49.581649780273438, 17.248264312744141 49.5816764831543, 17.247997283935547 49.581737518310547, 17.24725341796875 49.5819206237793, 17.247102737426758 49.581954956054688, 17.246074676513672 49.58221435546875, 17.244466781616211 49.5826301574707, 17.243917465209961 49.582786560058594, 17.243297576904297 49.582969665527344, 17.242528915405273 49.583244323730469, 17.242090225219727 49.583480834960938, 17.242076873779297 49.5834846496582)"
4261243,,primary,yes,,,"LINESTRING (17.27973747253418 49.587726593017578, 17.27998161315918 49.587764739990234)"
4261853,Ladova,secondary,,,,"LINESTRING (17.238382339477539 49.603214263916016, 17.238731384277344 49.603263854980469, 17.239025115966797 49.603225708007812, 17.239839553833008 49.603042602539062, 17.239934921264648 49.603019714355469, 17.240676879882812 49.602840423583984, 17.24077033996582 49.602817535400391, 17.241586685180664 49.602626800537109, 17.24213981628418 49.602485656738281, 17.242343902587891 49.602436065673828, 17.242412567138672 49.602420806884766)"
4262351,,tertiary,,,,"LINESTRING (17.23259162902832 49.575054168701172, 17.232547760009766 49.575008392333984, 17.232488632202148 49.5749397277832, 17.232290267944336 49.574714660644531, 17.232179641723633 49.5745735168457, 17.231988906860352 49.574443817138672, 17.231525421142578 49.574195861816406, 17.231409072875977 49.574134826660156, 17.231157302856445 49.574005126953125)"
