Id, Geometry
5120689,"POLYGON ((17.200071334838867 49.644844055175781, 17.199993133544922 49.644859313964844, 17.199930191040039 49.6449089050293, 17.199554443359375 49.645229339599609, 17.199411392211914 49.645370483398438, 17.1993408203125 49.645492553710938, 17.199253082275391 49.645683288574219, 17.199201583862305 49.645847320556641, 17.199140548706055 49.645961761474609, 17.199071884155273 49.646087646484375, 17.199064254760742 49.646144866943359, 17.199069976806641 49.646167755126953, 17.199081420898438 49.646194458007812, 17.199178695678711 49.646335601806641, 17.199316024780273 49.6463623046875, 17.199384689331055 49.646366119384766, 17.199453353881836 49.646339416503906, 17.200277328491211 49.645790100097656, 17.201284408569336 49.645439147949219, 17.201322555541992 49.6453742980957, 17.201316833496094 49.645267486572266, 17.201263427734375 49.645217895507812, 17.200839996337891 49.645095825195312, 17.200656890869141 49.645027160644531, 17.200496673583984 49.644966125488281, 17.200071334838867 49.644844055175781))"
5368603,"POLYGON ((17.250787734985352 49.622356414794922, 17.250177383422852 49.62298583984375, 17.249330520629883 49.623733520507812, 17.249530792236328 49.623920440673828, 17.249917984008789 49.623950958251953, 17.250148773193359 49.623538970947266, 17.250638961791992 49.623191833496094, 17.251247406005859 49.622539520263672, 17.251062393188477 49.622364044189453, 17.250787734985352 49.622356414794922))"
5368604,"POLYGON ((17.250404357910156 49.624282836914062, 17.250452041625977 49.624477386474609, 17.250591278076172 49.624553680419922, 17.251371383666992 49.624824523925781, 17.25187873840332 49.6249885559082, 17.251852035522461 49.624706268310547, 17.252115249633789 49.6246452331543, 17.252639770507812 49.624702453613281, 17.252981185913086 49.624835968017578, 17.253032684326172 49.624980926513672, 17.252643585205078 49.6252326965332, 17.252145767211914 49.625041961669922, 17.251800537109375 49.6252555847168, 17.2517147064209 49.625431060791016, 17.251815795898438 49.625614166259766, 17.251983642578125 49.62567138671875, 17.25221061706543 49.625740051269531, 17.252113342285156 49.625934600830078, 17.251974105834961 49.626255035400391, 17.252189636230469 49.626285552978516, 17.252408981323242 49.626075744628906, 17.252799987792969 49.625873565673828, 17.253101348876953 49.625617980957031, 17.253286361694336 49.625335693359375, 17.253208160400391 49.625118255615234, 17.253150939941406 49.624965667724609, 17.253520965576172 49.625083923339844, 17.253519058227539 49.624839782714844, 17.253459930419922 49.624687194824219, 17.253297805786133 49.624629974365234, 17.25291633605957 49.624477386474609, 17.252517700195312 49.6244010925293, 17.252208709716797 49.624275207519531, 17.251995086669922 49.624271392822266, 17.251932144165039 49.624210357666016, 17.251754760742188 49.624004364013672, 17.251560211181641 49.623867034912109, 17.250656127929688 49.623672485351562, 17.250465393066406 49.623783111572266, 17.250329971313477 49.623939514160156, 17.2502498626709 49.624073028564453, 17.250404357910156 49.624282836914062))"
8017543,"POLYGON ((17.252176284790039 49.618331909179688, 17.2523136138916 49.618328094482422, 17.252399444580078 49.6182746887207, 17.252490997314453 49.618240356445312, 17.253242492675781 49.618282318115234, 17.253376007080078 49.618263244628906, 17.2535457611084 49.618217468261719, 17.253688812255859 49.618106842041016, 17.253759384155273 49.618061065673828, 17.253822326660156 49.618003845214844, 17.253808975219727 49.617893218994141, 17.253698348999023 49.617824554443359, 17.253393173217773 49.617713928222656, 17.25323486328125 49.617885589599609, 17.252965927124023 49.617649078369141, 17.253053665161133 49.617507934570312, 17.252986907958984 49.617355346679688, 17.252601623535156 49.617336273193359, 17.252527236938477 49.617454528808594, 17.252532958984375 49.617519378662109, 17.252565383911133 49.6175537109375, 17.252941131591797 49.617599487304688, 17.252925872802734 49.61761474609375, 17.252590179443359 49.617599487304688, 17.252483367919922 49.617580413818359, 17.252239227294922 49.617950439453125, 17.252187728881836 49.618148803710938, 17.252077102661133 49.618221282958984, 17.25208854675293 49.618270874023438, 17.252176284790039 49.618331909179688))"
24018045,"POLYGON ((17.2661190032959 49.63763427734375, 17.267604827880859 49.637424468994141, 17.267545700073242 49.637077331542969, 17.267515182495117 49.636886596679688, 17.267763137817383 49.636810302734375, 17.267942428588867 49.6368293762207, 17.268051147460938 49.636791229248047, 17.268239974975586 49.636631011962891, 17.268222808837891 49.636482238769531, 17.2680721282959 49.636329650878906, 17.268100738525391 49.636161804199219, 17.268013000488281 49.635822296142578, 17.267728805541992 49.635604858398438, 17.265480041503906 49.635986328125, 17.265592575073242 49.636333465576172, 17.265512466430664 49.636623382568359, 17.265541076660156 49.636924743652344, 17.265724182128906 49.637081146240234, 17.265806198120117 49.637248992919922, 17.265981674194336 49.637298583984375, 17.265937805175781 49.637424468994141, 17.2661190032959 49.63763427734375))"
24680799,"POLYGON ((17.191385269165039 49.642650604248047, 17.191427230834961 49.642654418945312, 17.191463470458984 49.642650604248047, 17.191492080688477 49.642662048339844, 17.191511154174805 49.642677307128906, 17.191520690917969 49.642696380615234, 17.191530227661133 49.642707824707031, 17.191598892211914 49.6427116394043, 17.191625595092773 49.642707824707031, 17.191743850708008 49.642765045166016, 17.191843032836914 49.642791748046875, 17.191915512084961 49.642799377441406, 17.19194221496582 49.642807006835938, 17.191987991333008 49.642852783203125, 17.191991806030273 49.642875671386719, 17.192012786865234 49.642894744873047, 17.192325592041016 49.643009185791016, 17.192392349243164 49.643035888671875, 17.192493438720703 49.643074035644531, 17.19257926940918 49.642997741699219, 17.192480087280273 49.642951965332031, 17.192417144775391 49.642879486083984, 17.192354202270508 49.642841339111328, 17.192295074462891 49.642799377441406, 17.192228317260742 49.642784118652344, 17.192108154296875 49.64276123046875, 17.19209098815918 49.642734527587891, 17.192092895507812 49.642692565917969, 17.192106246948242 49.642669677734375, 17.192104339599609 49.642642974853516, 17.192073822021484 49.642608642578125, 17.192020416259766 49.6425895690918, 17.191974639892578 49.642570495605469, 17.191930770874023 49.642536163330078, 17.191892623901367 49.642520904541016, 17.191745758056641 49.642478942871094, 17.191701889038086 49.6424446105957, 17.191619873046875 49.642414093017578, 17.191513061523438 49.642383575439453, 17.191478729248047 49.642379760742188, 17.191427230834961 49.642375946044922, 17.191398620605469 49.642375946044922, 17.19135856628418 49.642375946044922, 17.191337585449219 49.642364501953125, 17.191320419311523 49.642314910888672, 17.191308975219727 49.642288208007812, 17.191244125366211 49.642265319824219, 17.191146850585938 49.642227172851562, 17.191076278686523 49.6422233581543, 17.1910457611084 49.642230987548828, 17.191013336181641 49.642253875732422, 17.191015243530273 49.642288208007812, 17.191030502319336 49.642333984375, 17.191043853759766 49.64239501953125, 17.191085815429688 49.642425537109375, 17.191120147705078 49.642433166503906, 17.191139221191406 49.6424446105957, 17.191137313842773 49.642463684082031, 17.191135406494141 49.642482757568359, 17.1911678314209 49.642509460449219, 17.191171646118164 49.642532348632812, 17.191211700439453 49.642578125, 17.191280364990234 49.642612457275391, 17.191324234008789 49.642620086669922, 17.19134521484375 49.642616271972656, 17.191364288330078 49.642616271972656, 17.191368103027344 49.642631530761719, 17.191385269165039 49.642650604248047))"
24680800,"POLYGON ((17.196813583374023 49.643642425537109, 17.196924209594727 49.643608093261719, 17.196910858154297 49.643539428710938, 17.19677734375 49.643508911132812, 17.196598052978516 49.643520355224609, 17.196525573730469 49.643524169921875, 17.196466445922852 49.643489837646484, 17.196393966674805 49.643463134765625, 17.19611930847168 49.643516540527344, 17.195878982543945 49.643508911132812, 17.195749282836914 49.643596649169922, 17.195766448974609 49.643661499023438, 17.195802688598633 49.643703460693359, 17.196319580078125 49.643695831298828, 17.196813583374023 49.643642425537109))"
24680801,"POLYGON ((17.193727493286133 49.643478393554688, 17.194168090820312 49.643608093261719, 17.195148468017578 49.643714904785156, 17.1951961517334 49.643669128417969, 17.194196701049805 49.643569946289062, 17.193721771240234 49.643428802490234, 17.193727493286133 49.643478393554688))"
50880232,"POLYGON ((17.390447616577148 49.546005249023438, 17.390457153320312 49.546047210693359, 17.390830993652344 49.5461311340332, 17.39085578918457 49.546035766601562, 17.390453338623047 49.545955657958984, 17.390447616577148 49.546005249023438))"
50883234,"POLYGON ((17.267318725585938 49.618988037109375, 17.267477035522461 49.619132995605469, 17.267629623413086 49.619213104248047, 17.267736434936523 49.619205474853516, 17.267810821533203 49.619136810302734, 17.267845153808594 49.6190299987793, 17.267791748046875 49.618999481201172, 17.267627716064453 49.618991851806641, 17.267498016357422 49.618976593017578, 17.267444610595703 49.618949890136719, 17.2674503326416 49.618919372558594, 17.267581939697266 49.618900299072266, 17.267753601074219 49.618865966796875, 17.267953872680664 49.618793487548828, 17.268129348754883 49.618747711181641, 17.268342971801758 49.618724822998047, 17.2684326171875 49.618705749511719, 17.268436431884766 49.618667602539062, 17.268341064453125 49.618621826171875, 17.268320083618164 49.618564605712891, 17.268342971801758 49.618499755859375, 17.268299102783203 49.61846923828125, 17.268068313598633 49.618473052978516, 17.267795562744141 49.6185188293457, 17.267648696899414 49.618537902832031, 17.267545700073242 49.6185188293457, 17.26732063293457 49.618465423583984, 17.267234802246094 49.618350982666016, 17.267156600952148 49.618255615234375, 17.2670841217041 49.618198394775391, 17.267013549804688 49.6181640625, 17.266941070556641 49.618160247802734, 17.266828536987305 49.618236541748047, 17.266778945922852 49.618431091308594, 17.266775131225586 49.618495941162109, 17.26689338684082 49.618568420410156, 17.266918182373047 49.618637084960938, 17.266864776611328 49.618736267089844, 17.266775131225586 49.618789672851562, 17.266582489013672 49.618854522705078, 17.266504287719727 49.618930816650391, 17.266422271728516 49.619064331054688, 17.266376495361328 49.619167327880859, 17.266447067260742 49.619255065917969, 17.26649284362793 49.619342803955078, 17.266647338867188 49.619377136230469, 17.266767501831055 49.619361877441406, 17.266921997070312 49.619449615478516, 17.267110824584961 49.619537353515625, 17.267183303833008 49.619548797607422, 17.267230987548828 49.619537353515625, 17.267244338989258 49.6195068359375, 17.267215728759766 49.61944580078125, 17.267059326171875 49.619369506835938, 17.266834259033203 49.619289398193359, 17.266681671142578 49.619247436523438, 17.266597747802734 49.619216918945312, 17.26655387878418 49.619171142578125, 17.266559600830078 49.619117736816406, 17.266628265380859 49.619071960449219, 17.266759872436523 49.619071960449219, 17.266910552978516 49.619121551513672, 17.266994476318359 49.619132995605469, 17.267097473144531 49.619075775146484, 17.267192840576172 49.618984222412109, 17.267215728759766 49.618953704833984, 17.267318725585938 49.618988037109375))"
