WKT,osm_id,name,waterway
"LINESTRING (17.1811254509914 49.6676709635485,17.1810774 49.667613,17.1811367 49.6674868,17.1812323 49.6674258,17.1815049 49.6674324,17.1819104582955 49.6676556937697)","7850230",Mlýnský potok,river
"LINESTRING (17.1829986310265 49.6676345268879,17.1830018 49.6675087,17.1831841 49.6672865,17.183275 49.6671602)","7850230",Mlýnský potok,river
"LINESTRING (17.2347957 49.6217478,17.2346957 49.6215729,17.2346149 49.6214065,17.2345326 49.6212433,17.2343917 49.6211317,17.2342347 49.6211065,17.2341103 49.621122,17.23396 49.6212069,17.2339152 49.6213766,17.233764 49.6215134,17.2336258 49.6215176,17.2330476 49.6213387,17.2326534 49.621278,17.23256 49.6212282,17.2325051 49.6210715,17.2324147 49.6206903,17.2324354 49.6205826,17.2325255 49.6205107,17.2327902 49.6204848,17.2328994 49.6204052,17.2328975 49.6202989,17.2328401 49.6201808,17.2324976 49.620113,17.2320482 49.6202416,17.2315049 49.6202465,17.2312636 49.6204822,17.2311658 49.6205416,17.2309923 49.6205187,17.2308496 49.62038,17.2308523 49.6201419,17.2310172 49.6198371,17.2311896 49.6196313,17.2314721 49.6194548,17.2314985 49.6193432,17.2314363 49.6191729,17.2314721 49.618994,17.231688 49.6188155,17.2318636 49.6187832,17.2321133 49.6188534,17.2322777 49.6188343,17.2325487 49.618535,17.2330837 49.6182879,17.2331638 49.6181212,17.2330367 49.6177169,17.2331359 49.6173672,17.2329218 49.6172211,17.2328706 49.617148,17.2325344 49.6164199,17.2324405 49.6162075,17.2323909 49.6160756,17.2323326 49.6158999,17.2323155 49.6156033,17.2323676 49.6153213,17.2324494 49.6151203,17.2328047 49.6145409,17.2338309 49.6127677,17.2351801 49.6105366,17.2356276 49.6099821,17.235887 49.6097463,17.2362066 49.6095109,17.2365645 49.6093094,17.237076 49.6090983,17.2389521 49.6084289,17.2431451 49.60699,17.243397 49.6068804,17.2439221 49.6065303,17.2443631 49.6061927,17.2447923 49.605828,17.245286 49.6054405,17.2458478 49.6051079,17.2463798 49.6048649,17.2468284 49.6046956,17.2477528 49.6043846)","15426551",Mlýnský potok,river
"LINESTRING (17.2576244 49.5884885,17.2574454 49.588348,17.2572092 49.5882801,17.2570466 49.5881859,17.2562877 49.5877227,17.2562316 49.5876913,17.2562191 49.5876605,17.2563845 49.587458,17.2564821 49.586834,17.2568437 49.5862449,17.2569753 49.5860548,17.2572006 49.5859148,17.2573861 49.5859148,17.2576383 49.5859549,17.2582045 49.5860907,17.2585362 49.5861542,17.2588563 49.5861616,17.2591769 49.5861119,17.2594692 49.5860082,17.2596114 49.5859819)","16920534",Mlýnský potok,stream
"LINESTRING (17.1933646 49.6552484,17.1935173 49.6552373,17.1936656 49.6552423,17.1942662 49.6552177,17.194597 49.655091,17.1956114 49.6544988)","18774072",,river
"LINESTRING (17.2943247 49.5767074,17.2945195 49.576518)","23331715",,stream
"LINESTRING (17.2641464 49.5878024,17.2642107 49.5875629,17.2642439 49.5873,17.2640441 49.5862507,17.2640221 49.5861903,17.2639922 49.5861081,17.2637983 49.585517,17.2633986 49.5847748,17.2626253 49.5840282,17.262304 49.583746,17.2619972 49.5834982,17.2616809 49.5832943)","24964238",Protipovodňový kanál,canal
"LINESTRING (17.2418957020394 49.6664888748174,17.2421012 49.6660867,17.2432413 49.6632649,17.2435348 49.6627494,17.2439204 49.6622284,17.2444067 49.6617183,17.2447504 49.6613276,17.2449432 49.6610942,17.2450103 49.660888,17.2449852 49.6606709,17.2449181 49.6604484,17.2448175 49.6602802,17.244633 49.6601391,17.2442861 49.6598756,17.2441971 49.659808,17.2440126 49.6596181,17.2437863 49.6592762,17.2437695 49.6589289,17.2438534 49.6585869,17.2441189 49.6573709,17.2442316 49.6567285,17.2442316 49.6543849,17.2442091 49.6504787,17.2443102 49.6499914,17.2444349 49.6494471,17.2447074 49.648813,17.2448138 49.6484714,17.2449415 49.6477789,17.2450373 49.6467607,17.2451236 49.6457509,17.2449284 49.6443286,17.2445012 49.6417999,17.2442725 49.6412915,17.2438993 49.6407867,17.2435096 49.6403464,17.2433438 49.6399544,17.2433189 49.6394121,17.2433593 49.6391585,17.2434184 49.6386227,17.2436754 49.6374736,17.2441481 49.6362707,17.2454997 49.6330754,17.2457235 49.6324631,17.2458943 49.6320175)","26402007",Oskava,stream
"LINESTRING (17.131377253954 49.6595363547991,17.1316634 49.6594385,17.1317862 49.6593763,17.1318235 49.6593228,17.1318449 49.6592761,17.1318514 49.6591538,17.1319622 49.6585254,17.1320729 49.6579981,17.1321902 49.6578632,17.1323726 49.6577662,17.1330403 49.657337,17.1334021 49.6571145,17.1336795 49.6568764,17.1338061 49.6566188,17.1339689 49.6561308,17.1342463 49.6557522,17.1344319 49.65549,17.1345659 49.6552433,17.1346357 49.6548187,17.1346357 49.654674,17.134708 49.6545421,17.1348066 49.6544399,17.1350104 49.6542463,17.1352799 49.6540505,17.1355052 49.6538733,17.1356414 49.6537122,17.1358814 49.6533951,17.1361505 49.6530166,17.1379784 49.6508916,17.1397085 49.6488802,17.140376 49.6481131,17.1406038 49.64787,17.1408291 49.6477733,17.1409445 49.6477413,17.1410862 49.6476623,17.1413334 49.6474596,17.1418937 49.6470883,17.1426913 49.6466316,17.143067 49.6464715,17.1438886 49.6461485)","31001448",Cholinka,stream
"LINESTRING (17.183275 49.6671602,17.1832233 49.6668057,17.1831964 49.6664596)","32673859",Mlýnský potok,river
