id,zone_type,geometry
1,Obcanska vybavenosresidental,"POLYGON ((17.2277662054015 49.5961015782288,17.2279600731292 49.5961014568757,17.2279616761399 49.5960710706974,17.2280627763991 49.5960738051575,17.2282087875812 49.5960796453213,17.2282088402533 49.5960721175502,17.2283629476388 49.5960781722184,17.2283655612549 49.5958249324606,17.2277682595999 49.5958227554224,17.2277651529259 49.5960585330701,17.2277662054015 49.5961015782288))"
2,Bytovaresidentalhigh,"POLYGON ((17.2274946152483 49.5960158441004,17.2274307442528 49.5960096073068,17.2272186460596 49.5959901647999,17.2270759720334 49.5959761242798,17.2268336904992 49.595951734178,17.2264042083841 49.595910352129,17.2258438001934 49.5958546770321,17.225691384662 49.5958376107335,17.2255628413766 49.5958231705698,17.2252659339951 49.5957945735519,17.2252309766131 49.5959502824781,17.2252030050356 49.5960712989099,17.2251993080936 49.5961030296994,17.2256888121466 49.5961578032288,17.2264914316352 49.5962486289084,17.2268666301249 49.5962916276171,17.2270980407613 49.5963152526767,17.2274515314283 49.5963250519844,17.2275068832003 49.5963260040556,17.2275138533426 49.5962375161612,17.2274946152483 49.5960158441004))"
3,Obcanska vybavenospoint_education,"POLYGON ((17.2275802287273 49.5947036089708,17.2275868489347 49.5946748695712,17.2275906282404 49.5946454679072,17.2275964054055 49.5946222204617,17.2275413416358 49.5946167344294,17.2270161849778 49.5945644839248,17.2267777170003 49.5945413562016,17.2267723500857 49.5945624987954,17.2268228813712 49.5945681965732,17.2268081123217 49.5946384067239,17.2267541151229 49.5946337300976,17.2267333836699 49.5947132585618,17.2267146121504 49.5947836806683,17.2266817419641 49.5949081382067,17.2265380858667 49.5954540807049,17.2264761401057 49.5957294376246,17.226440223026 49.595913822312,17.2266279728741 49.5959319896648,17.2270210865541 49.5959700273469,17.2272186460596 49.5959901647999,17.2273220069324 49.5959997822276,17.2274946152483 49.5960158441004,17.2274822453967 49.5958559369554,17.2274553932412 49.5958533656886,17.2274546563998 49.5958244998716,17.2274533226804 49.5957326041254,17.2274559499888 49.5956407733511,17.2274556763866 49.5955595990354,17.2274241117285 49.5955103072274,17.2274369754928 49.5954246303836,17.22748183266 49.595382593141,17.2274967507602 49.5951896607039,17.2274990372051 49.5951556189854,17.2275019428389 49.595127117532,17.2275188185547 49.5950364031648,17.2275356571418 49.5949507064471,17.2275505662202 49.5948632117393,17.2275666280633 49.5947825810923,17.2275710635668 49.5947537002441,17.2275802287273 49.5947036089708))"
4,Bytovaresidentalhigh,"POLYGON ((17.2264761401057 49.5957294376246,17.2267541151229 49.5946337300976,17.2268081123217 49.5946384067239,17.2268228813712 49.5945681965732,17.2267723500857 49.5945624987954,17.2267777170003 49.5945413562016,17.2266435532852 49.5945263534454,17.2266459930257 49.5945088205212,17.22634758012 49.5944784552369,17.22634670869 49.5944889178889,17.2262225219574 49.5944760759477,17.2259950522961 49.5944531829712,17.2257308004497 49.5944264668994,17.2256047929709 49.5944135063956,17.2254355944298 49.5943967851205,17.2253197833217 49.5943844854717,17.2251683565503 49.5943693956471,17.2249787627912 49.5943499156489,17.2248585099135 49.5943378053115,17.2245445263508 49.5943057701374,17.2245277046915 49.5943237657558,17.2245116866656 49.5943561985141,17.2245019356084 49.5943957325724,17.2244300777777 49.5947102036348,17.2244046791929 49.5948180572949,17.2243555977356 49.5950608934115,17.2243544656801 49.5952249780968,17.2243671150808 49.5953245914618,17.2244213085976 49.5954346948667,17.2243223956069 49.5954273174442,17.2243092236724 49.5954843213476,17.2242615946045 49.5956913650212,17.2242515497718 49.5957280107594,17.2242440187482 49.5957698401037,17.2242079925097 49.5959181279589,17.2242832816681 49.595981114473,17.2245516239793 49.5960265078028,17.2246299608797 49.5960337454307,17.2251993080936 49.5961030296994,17.2252101263045 49.596040489994,17.2252659339951 49.5957945735519,17.226440223026 49.595913822312,17.2264761401057 49.5957294376246))"
5,Bytovaresidentalhigh,"POLYGON ((17.2282088402533 49.5960721175502,17.2282075916002 49.5963493074148,17.2285076958478 49.5963630049069,17.2288965907758 49.5963701459747,17.2292229090745 49.5963817533379,17.22962089795 49.596391314726,17.2299255092228 49.5964005560389,17.2301204252832 49.5964055492456,17.2304693236737 49.5964186177504,17.2307852928516 49.5964113788838,17.2309946267428 49.5964029605985,17.2310594427039 49.5963736925007,17.2310598624845 49.5963230337363,17.2310634871715 49.5962706696419,17.231065413805 49.5962237042674,17.2307013700552 49.5962192659599,17.2307044184343 49.5961478959371,17.2304450416765 49.596141113072,17.2299442059366 49.5961258382888,17.2289599974452 49.596097731772,17.2282088402533 49.5960721175502))"
6,Obcanska vybavenospoint_education,"POLYGON ((17.2307044184343 49.5961478959371,17.2307170358299 49.5957793596339,17.2308235601411 49.5957802922939,17.2309776106897 49.5957831123902,17.2310803115087 49.5957849920318,17.2312491045309 49.5957636625964,17.2313705805642 49.595764041924,17.2314678411242 49.5957643457354,17.2315395435352 49.5957645685041,17.2315528226223 49.5957259805052,17.231587744297 49.5956063117925,17.2316299455738 49.5954751598859,17.2317729723726 49.5954940798804,17.2319009888249 49.5955107497611,17.2319690064426 49.5955169652606,17.2319807388301 49.595447784548,17.2319959823143 49.5953579042992,17.232005628776 49.595301023259,17.231820606425 49.5952796005358,17.231484635889 49.5952398788205,17.2313851329017 49.595227202317,17.2312968148676 49.5952154965577,17.2311484539515 49.5951908738757,17.2310638628011 49.5951822274944,17.2310661612873 49.5951730047871,17.2310692465619 49.595162494006,17.2310804858734 49.5951237825707,17.2310888372073 49.5950942953144,17.2311170636253 49.5949985982363,17.2294596696444 49.5948181114393,17.2294118337042 49.5950096292676,17.2293607450241 49.5950045928528,17.2293476381917 49.5950798872053,17.2293353040254 49.5951530373685,17.2293116289142 49.595293169943,17.2293042653931 49.5953363304876,17.229300848105 49.5953557138449,17.2292963563268 49.595382095023,17.2290110530935 49.595355156946,17.2283433224562 49.595288898285,17.2282064594702 49.5952747580394,17.2281688380947 49.5952706428704,17.2281683099685 49.5953363581176,17.2281686871166 49.5954680236807,17.2281691248908 49.5955897243635,17.2281691592677 49.5957068557675,17.2281710520085 49.5958242239513,17.2283655612549 49.5958249324606,17.2283629476388 49.5960781722184,17.2290670372319 49.5961007890191,17.2307044184343 49.5961478959371))"
7,Bytovaresidentalhigh,"POLYGON ((17.2311170636253 49.5949985982363,17.2312270340268 49.5946060997363,17.2312347151752 49.5945795490164,17.2312360682531 49.5945745680514,17.2312368535413 49.5945713675045,17.2312338803061 49.5945667758309,17.2312319998355 49.5945636887654,17.2312287653342 49.5945608014313,17.2312265941355 49.5945586519343,17.2312229360736 49.5945556414303,17.231213414761 49.5945505769202,17.2312061309707 49.5945472351278,17.2311986275968 49.594544358153,17.2310916324179 49.5945289256555,17.2310798431806 49.5945625893795,17.2310571218771 49.5946315366241,17.2310459786559 49.5946651348111,17.2309414108796 49.594651496798,17.2308395495265 49.5946382104151,17.2308645040204 49.5945571469314,17.2308174671371 49.5945510057166,17.2308197276117 49.5945427085116,17.2307683219076 49.5945361459539,17.230764997896 49.5945441551096,17.2306183603069 49.5945250093373,17.2306205120628 49.5945160575412,17.2304443238087 49.5944932955568,17.2304414062833 49.5945019040808,17.2302667537873 49.5944791005246,17.2302709896277 49.5944661720114,17.2301773944497 49.5944539374289,17.2301851434263 49.5944286187935,17.2301803180829 49.5944224678454,17.2301726313615 49.5944174812325,17.2301635049725 49.594413152974,17.2301605158264 49.5944117289904,17.2301329564616 49.59440668555,17.230118789142 49.5944034628826,17.2301014453594 49.5943995637892,17.230084955409 49.5943958155563,17.2300678230836 49.5943908787679,17.2300557803549 49.5943867524461,17.2300444250669 49.5943822845269,17.2300312548777 49.5943760740251,17.2300222804343 49.5943712840425,17.2300138013838 49.5943670998211,17.2300031942539 49.5943595256312,17.2299902132652 49.594348482549,17.2299881911235 49.5943460800736,17.2299848766646 49.5943437133021,17.2299820929831 49.5943407560729,17.229979526417 49.5943378864156,17.2299750584398 49.5943324698223,17.2299712613401 49.5943278957957,17.2299692483543 49.5943257243347,17.2299663709133 49.594321712809,17.2299627259571 49.5943154986195,17.2299578809989 49.594306338056,17.2299551828802 49.5942999472909,17.2299233106592 49.5942562367535,17.2299077209826 49.5942582374316,17.2298915038173 49.5942603770421,17.2298666818031 49.5942636441458,17.2298333154578 49.5942680609599,17.2297948321132 49.594273099039,17.2297448338862 49.5942797569708,17.2297225158486 49.5942826411426,17.2297205743637 49.594292413781,17.2297091786313 49.5943509268867,17.2297322131769 49.5943536170805,17.2297175720204 49.5944130365371,17.2296829630045 49.5945546024576,17.2296490823407 49.5946944217422,17.2296421179447 49.5947248123258,17.2295790312404 49.5947523991931,17.2295735681015 49.5947542316616,17.2295640646196 49.5947572016931,17.2295571163586 49.5947593335533,17.2295473278016 49.5947598460357,17.2295395484625 49.5947602019535,17.2295172610461 49.5947587558308,17.2295014636403 49.5947610303292,17.2294871531874 49.5947679917529,17.2294734782185 49.5947808763367,17.2294652643333 49.5947941288602,17.2294622307682 49.5948052647063,17.2294596696444 49.5948181114393,17.2311170636253 49.5949985982363))"
8,Obcanska vybavenosCom/res/ind,"POLYGON ((17.2311840379126 49.5945422538391,17.231215759026 49.594415829047,17.2312266828754 49.5943786106763,17.2312302736949 49.5943641994688,17.2312330705727 49.5943564073679,17.2312343057589 49.5943483584199,17.2312367038389 49.5943303431201,17.2312335683221 49.5943076415923,17.2312331298029 49.5943033095902,17.2312328561689 49.5943014986213,17.231230777833 49.5942958650707,17.2312254347107 49.5942815559915,17.2312225191257 49.5942741943076,17.2312202407354 49.5942673915664,17.2312012488567 49.5942384810964,17.2311880502529 49.594219036696,17.2311859730705 49.5942157932985,17.2311827955514 49.5942120313749,17.2311734064858 49.5942019185835,17.2311610996001 49.5941886397763,17.2311529586584 49.5941798576764,17.2311502178837 49.5941767503176,17.2311452542092 49.5941725433641,17.2311321039469 49.5941617681488,17.2311100907846 49.5941437360411,17.2311016330986 49.5941370191776,17.2310959506998 49.5941323466076,17.2310884319061 49.5941281295535,17.2310739434625 49.5941204476953,17.2310508003197 49.5941129210382,17.231041032248 49.5941104223684,17.2310211256864 49.5941064055119,17.2310023326915 49.5941023177018,17.2309939417184 49.5941009133457,17.230988938326 49.5941004448941,17.2309729432103 49.5940982597064,17.230960203972 49.5940964291366,17.230921505747 49.5940942058521,17.2309024085466 49.5940949753107,17.230872125149 49.5940967412967,17.2308634728615 49.5940970403714,17.2308483746732 49.5940990739799,17.2308111430132 49.5941051218775,17.2307589016151 49.5941133527833,17.2306616347565 49.5941285185402,17.2305466395987 49.5941470386945,17.2304016534107 49.5941708848831,17.2300881996778 49.5942236351669,17.2299961410557 49.5942387026678,17.2299233106592 49.5942562367535,17.2299551828802 49.5942999472909,17.2299594221955 49.5943089369139,17.2299609639591 49.5943116392123,17.2299668129168 49.5943215729513,17.2299691211534 49.5943253021861,17.2299752138601 49.5943326611353,17.2299804859479 49.594339049965,17.2299848766646 49.5943437133021,17.2300031942539 49.5943595256312,17.2300138013838 49.5943670998211,17.2300312548777 49.5943760740251,17.2300444250669 49.5943822845269,17.2300550757692 49.5943864754639,17.2300678230836 49.5943908787679,17.230084955409 49.5943958155563,17.230115814075 49.59440271151,17.2301329564616 49.59440668555,17.2301517400117 49.5944099586669,17.2301605158264 49.5944117289904,17.2301708802338 49.594416651394,17.2301743084485 49.5944185688777,17.2301803180829 49.5944224678454,17.2301851434263 49.5944286187935,17.2301773944497 49.5944539374289,17.2302709896277 49.5944661720114,17.2302667537873 49.5944791005246,17.2304414062833 49.5945019040808,17.2304443238087 49.5944932955568,17.2306205120628 49.5945160575412,17.2306183603069 49.5945250093373,17.230764997896 49.5945441551096,17.2307683219076 49.5945361459539,17.2308197276117 49.5945427085116,17.2308174671371 49.5945510057166,17.2308645040204 49.5945571469314,17.2308395495265 49.5946382104151,17.2310459786559 49.5946651348111,17.2310916324179 49.5945289256555,17.2311840379126 49.5945422538391))"
9,RDresidentalLow,"POLYGON ((17.2276393311383 49.5944842750873,17.2276745552611 49.5943523432257,17.2277204023079 49.5941975203789,17.2277716952303 49.5939832790524,17.2261489075226 49.5938205793319,17.2261365379352 49.5938771569256,17.2255423801619 49.5938182679809,17.2255724930655 49.5936822268762,17.2255748673392 49.5936742523351,17.2246638495465 49.5935837795203,17.2246650003649 49.5936780402051,17.2246640786917 49.5938097181426,17.2246479071567 49.5938850573757,17.2247193346893 49.5938928955644,17.2246731592088 49.5940857117081,17.2246514960735 49.5941833364914,17.2248026453074 49.5941981219727,17.224948336752 49.5942132766922,17.2250244498026 49.5942206089823,17.2263650695126 49.5943574152993,17.2267059610619 49.5943878535644,17.2276393311383 49.5944842750873))"
10,Bytovaresidentalhigh,"POLYGON ((17.2313271656184 49.5935950095436,17.2317404260618 49.5936522974118,17.2322988169008 49.5937303525558,17.2323967432858 49.5937419009265,17.2325033529166 49.5936721901662,17.2325477627717 49.593578274629,17.2325840312951 49.5935015748627,17.232530255781 49.5934701009509,17.232377990218 49.5934485112236,17.232398836963 49.593384568231,17.2323710868612 49.5933808558822,17.2323808062318 49.5933510749479,17.2324088850935 49.5933550472254,17.2324612403217 49.5931984460861,17.232434546396 49.5931950408189,17.2324409859617 49.5931770491558,17.2324698176989 49.5931809034392,17.232498681459 49.5930863037567,17.2326232930969 49.5929717344035,17.2326038433712 49.5929618653503,17.2326880150728 49.592887923987,17.2327083396187 49.5928992829356,17.2328188846855 49.5927972856472,17.23300214477 49.5926312895007,17.2329823676045 49.5926235516328,17.2330630755174 49.5925506043051,17.2330860209402 49.592559265144,17.2331725384652 49.5924785726869,17.2332836637059 49.5921379085218,17.2331625665529 49.59210136542,17.2329489757099 49.5920671921415,17.2327741284659 49.5920511708819,17.2326832257714 49.5919537503682,17.2324087278082 49.5919150274756,17.2319248264181 49.5918328372065,17.231792693009 49.5918132863036,17.2317635442025 49.5919243625855,17.2317113737047 49.5921222900536,17.2316340752275 49.5924282088814,17.2314926789095 49.5929660083872,17.2313638274703 49.5934579994292,17.2313271656184 49.5935950095436))"
