Id, Amenity, Centroid, Geometry
27925650,bar,"POINT (20.060287370628309 49.12880946818202)","LINEARRING (20.06024169921875 49.128871917724609, 20.060312271118164 49.128875732421875, 20.060371398925781 49.128849029541016, 20.060392379760742 49.128803253173828, 20.06036376953125 49.128761291503906, 20.060298919677734 49.128742218017578, 20.060230255126953 49.128753662109375, 20.0601863861084 49.128787994384766, 20.060192108154297 49.128837585449219, 20.06024169921875 49.128871917724609)"
27925658,parking,"POINT (20.0617829902295 49.124507210055974)","LINEARRING (20.060749053955078 49.124759674072266, 20.060886383056641 49.124912261962891, 20.061628341674805 49.1246452331543, 20.062437057495117 49.124553680419922, 20.062606811523438 49.124420166015625, 20.06214714050293 49.123954772949219, 20.061956405639648 49.124027252197266, 20.062334060668945 49.12445068359375, 20.061613082885742 49.124534606933594, 20.060749053955078 49.124759674072266)"
27925667,parking,"POINT (20.064596800619707 49.119207889761512)","LINEARRING (20.063690185546875 49.119243621826172, 20.065221786499023 49.119491577148438, 20.06547737121582 49.119403839111328, 20.065515518188477 49.119178771972656, 20.063806533813477 49.1189079284668, 20.063690185546875 49.119243621826172)"
28023852,parking,"POINT (20.290986265330591 49.044182964670391)","LINEARRING (20.291114807128906 49.045021057128906, 20.291202545166016 49.045001983642578, 20.291475296020508 49.044948577880859, 20.29145622253418 49.044902801513672, 20.291479110717773 49.044895172119141, 20.291524887084961 49.044868469238281, 20.291530609130859 49.044834136962891, 20.291290283203125 49.044342041015625, 20.291351318359375 49.044326782226562, 20.291269302368164 49.044147491455078, 20.2911434173584 49.044174194335938, 20.290882110595703 49.043628692626953, 20.291088104248047 49.043586730957031, 20.290996551513672 49.043392181396484, 20.290914535522461 49.043392181396484, 20.290914535522461 49.043338775634766, 20.290616989135742 49.043411254882812, 20.290584564208984 49.043426513671875, 20.290565490722656 49.043453216552734, 20.290565490722656 49.043479919433594, 20.290573120117188 49.043556213378906, 20.290683746337891 49.044525146484375, 20.290798187255859 49.044754028320312, 20.291114807128906 49.045021057128906)"
28050842,parking,"POINT (20.221490167242276 49.1381068273053)","LINEARRING (20.221935272216797 49.138187408447266, 20.221717834472656 49.138015747070312, 20.221630096435547 49.137977600097656, 20.221523284912109 49.137954711914062, 20.221357345581055 49.137836456298828, 20.22111701965332 49.137985229492188, 20.221042633056641 49.138053894042969, 20.221368789672852 49.138198852539062, 20.221576690673828 49.138389587402344, 20.221935272216797 49.138187408447266)"
28051170,parking,"POINT (20.224660568217704 49.140754768433858)","LINEARRING (20.224361419677734 49.1407585144043, 20.224393844604492 49.140823364257812, 20.224498748779297 49.140876770019531, 20.224626541137695 49.140888214111328, 20.224781036376953 49.140895843505859, 20.224987030029297 49.140819549560547, 20.22491455078125 49.140777587890625, 20.224857330322266 49.140731811523438, 20.224781036376953 49.140651702880859, 20.224721908569336 49.1406135559082, 20.224609375 49.140560150146484, 20.224554061889648 49.140544891357422, 20.224361419677734 49.1407585144043)"
33457280,parking,"POINT (20.225430815310659 49.140320033527196)","LINEARRING (20.224979400634766 49.140602111816406, 20.225191116333008 49.140594482421875, 20.225387573242188 49.140544891357422, 20.225412368774414 49.14056396484375, 20.225734710693359 49.14044189453125, 20.225940704345703 49.140285491943359, 20.226036071777344 49.14013671875, 20.225671768188477 49.14013671875, 20.225479125976562 49.140132904052734, 20.225252151489258 49.140110015869141, 20.225109100341797 49.140071868896484, 20.22502326965332 49.140121459960938, 20.224996566772461 49.140445709228516, 20.2249755859375 49.140445709228516, 20.224952697753906 49.140445709228516, 20.224935531616211 49.140571594238281, 20.224979400634766 49.140602111816406)"
51960942,parking,"POINT (20.064684165352819 49.119784219449429)","LINEARRING (20.063812255859375 49.119468688964844, 20.063665390014648 49.119804382324219, 20.065568923950195 49.120101928710938, 20.065631866455078 49.119922637939453, 20.065692901611328 49.119758605957031, 20.063812255859375 49.119468688964844)"
52490469,fuel,"POINT (20.207513646812313 49.134316305808554)","LINEARRING (20.207597732543945 49.134418487548828, 20.207571029663086 49.134365081787109, 20.207643508911133 49.13433837890625, 20.207651138305664 49.134330749511719, 20.2076473236084 49.134323120117188, 20.207601547241211 49.134296417236328, 20.207605361938477 49.134292602539062, 20.207595825195312 49.1342887878418, 20.207590103149414 49.134292602539062, 20.207555770874023 49.134269714355469, 20.207559585571289 49.1342658996582, 20.207551956176758 49.134258270263672, 20.207550048828125 49.134262084960938, 20.207504272460938 49.134231567382812, 20.207490921020508 49.134231567382812, 20.207481384277344 49.134235382080078, 20.207443237304688 49.134281158447266, 20.2073917388916 49.1342658996582, 20.207363128662109 49.1342658996582, 20.207361221313477 49.134269714355469, 20.207435607910156 49.134284973144531, 20.207416534423828 49.134323120117188, 20.207511901855469 49.134384155273438, 20.207563400268555 49.134368896484375, 20.207590103149414 49.134418487548828, 20.207597732543945 49.134418487548828)"
52490540,place_of_worship,"POINT (20.294534219628321 49.058973224556908)","LINEARRING (20.294307708740234 49.058917999267578, 20.2943058013916 49.05902099609375, 20.294759750366211 49.059028625488281, 20.294763565063477 49.058925628662109, 20.294307708740234 49.058917999267578)"
