Id,Geometry,Boundary,Info,Width,Length,Service,SubService
18800,"POINT (20.1733464075523 49.0611969329546)","POLYGON ((20.1734396737863 49.0611448127206, 20.1733389165791 49.0611166289037, 20.1732531411234 49.0612490531117, 20.1733538985479 49.0612772370041, 20.1734396737863 49.0611448127206))",L1 1x1 Detached (BuildingInfo),1,2,Residential,ResidentialLow
19884,"POINT (20.1968573861471 49.058560065087)","POLYGON ((20.1969452848726 49.0586762242138, 20.1969867352176 49.0584620662864, 20.1967694878244 49.0584439061675, 20.1967280365718 49.0586580634637, 20.1969452848726 49.0586762242138))",L1_3x2_Shop_10 (BuildingInfo),3,2,Commercial,CommercialLow
20028,"POINT (20.1666009606253 49.0710773875172)","POLYGON ((20.1664902369754 49.0711485530609, 20.166709276968 49.0711501347072, 20.1667116839589 49.0710062218646, 20.1664926445988 49.0710046402263, 20.1664902369754 49.0711485530609))",Water Tower (BuildingInfo),2,2,Water,None
18977,"POINT (20.1729990507025 49.0624566134068)","POLYGON ((20.1732242143967 49.0624458710701, 20.1731900309036 49.06237750585, 20.1727738869166 49.0624673553037, 20.1728080698969 49.0625357206776, 20.1732242143967 49.0624458710701))",H1 1x1 Tenement (BuildingInfo),1,4,Residential,ResidentialHigh
19165,"POINT (20.1819750695065 49.0602784306304)","POLYGON ((20.181912568201 49.0601032795957, 20.1817017031165 49.060268818609, 20.182037571244 49.0604535816284, 20.1822484360099 49.0602880420048, 20.181912568201 49.0601032795957))",L1 3x4 Detached08 (BuildingInfo),3,4,Residential,ResidentialLow
19127,"POINT (20.1805697135475 49.0606005165336)","POLYGON ((20.1805488051177 49.060803588846, 20.1808787302887 49.0606142561727, 20.1805906217967 49.0603974442093, 20.180260696987 49.0605867760679, 20.1805488051177 49.060803588846))",L1 4x4 Detached02 (BuildingInfo),4,4,Residential,ResidentialLow
19109,"POINT (20.1692586805378 49.0605002726998)","POLYGON ((20.169062054161 49.0604887260919, 20.169318087522 49.0606239886438, 20.1694553070098 49.0605118189731, 20.1691992738451 49.0603765567242, 20.169062054161 49.0604887260919))",L1 3x2 Detached04 (BuildingInfo),3,2,Residential,ResidentialLow
19539,"POINT (20.1993899390001 49.0571508387)","POLYGON ((20.1995031958434 49.0570814369532, 20.1992843374639 49.0570764058756, 20.1992766818416 49.0572202403332, 20.1994955408516 49.0572252714285, 20.1995031958434 49.0570814369532))",L1 2x2 Detached06 (BuildingInfo),2,2,Residential,ResidentialLow
19053,"POINT (20.1730726669989 49.0643099855522)","POLYGON ((20.1731446222805 49.064219868322, 20.1729355254431 49.0642627029171, 20.1730007114556 49.0644001027347, 20.1732098088165 49.0643572680253, 20.1731446222805 49.064219868322))",L1 2x2 Detached06 (BuildingInfo),2,2,Residential,ResidentialLow
18997,"POINT (20.1738484267189 49.0633171259241)","POLYGON ((20.1738227545834 49.0632384596974, 20.1737372520155 49.0632834220382, 20.1738740989339 49.0633957921444, 20.1739596015736 49.0633508297035, 20.1738227545834 49.0632384596974))",H1 1x1 Tenement (BuildingInfo),1,2,Residential,ResidentialHigh
19092,"POINT (20.1789478846413 49.0597193266305)","POLYGON ((20.1787486871855 49.0598427303132, 20.1790723798579 49.0598795493313, 20.1791470811112 49.0595959225961, 20.1788233902205 49.0595591037953, 20.1787486871855 49.0598427303132))",L1 3x4 detached04 (BuildingInfo),3,4,Residential,ResidentialLow
19016,"POINT (20.1675678405798 49.059838544755)","POLYGON ((20.16783868489 49.0599372685496, 20.1677180665301 49.0596605543206, 20.1672969973481 49.059739820329, 20.1674176135511 49.0600165349826, 20.16783868489 49.0599372685496))",L1 4x3 Detached12 (BuildingInfo),4,4,Residential,ResidentialLow
19054,"POINT (20.1664431119365 49.0694875403768)","POLYGON ((20.1663323916249 49.0695587058066, 20.1665514246198 49.0695602877148, 20.1665538319319 49.0694163748381, 20.1663347995695 49.0694147929379, 20.1663323916249 49.0695587058066))",Water Tower (BuildingInfo),2,2,Water,None
18844,"POINT (20.1779360507389 49.0627839505163)","POLYGON ((20.1777817515607 49.0627752334163, 20.1779227860338 49.0628853446709, 20.1780903499736 49.0627926674103, 20.1779493153869 49.0626825563925, 20.1777817515607 49.0627752334163))",L1 2x2 Detached06 (BuildingInfo),2,2,Residential,ResidentialLow
18927,"POINT (20.1754897960881 49.0605047349234)","POLYGON ((20.175545268515 49.0605997500021, 20.1756343812859 49.0604682810388, 20.1754343238708 49.0604097198175, 20.1753452106807 49.0605411886255, 20.175545268515 49.0605997500021))",L1 2x2 Detached03 (BuildingInfo),2,2,Residential,ResidentialLow
18917,"POINT (20.1708871194911 49.0598870139656)","POLYGON ((20.1710090803791 49.0598243006156, 20.1707916905883 49.0598068652773, 20.1707651582969 49.0599497271843, 20.1709825487003 49.0599671625755, 20.1710090803791 49.0598243006156))",L1 2x2 Detached03 (BuildingInfo),2,2,Residential,ResidentialLow
19198,"POINT (20.1747267668096 49.0563098741107)","POLYGON ((20.1746185348256 49.0562370931012, 20.1746160249422 49.0563810056937, 20.1748349991096 49.0563826550196, 20.1748375083611 49.056238742419, 20.1746185348256 49.0562370931012))",L1 2x2 Detached04 (BuildingInfo),2,2,Residential,ResidentialLow
18950,"POINT (20.1770279525055 49.0618318497101)","POLYGON ((20.1771093450641 49.0619836097915, 20.1772615403966 49.0618801166553, 20.1769465604386 49.0616800895013, 20.176794365072 49.0617835822941, 20.1771093450641 49.0619836097915))",L1 2x2 Detached06 (BuildingInfo),2,4,Residential,ResidentialLow
