Id, Road Name, Road Type, One Way, Lanes, Bridge, Geometry
4189718,Dlhé hony,residential,yes,1,,"LINESTRING (20.286819458007812 49.050819396972656, 20.287004470825195 49.050750732421875, 20.28715705871582 49.050678253173828, 20.287284851074219 49.050594329833984, 20.287410736083984 49.05047607421875)"
4189720,Uherova,residential,,2,,"LINESTRING (20.29045295715332 49.047428131103516, 20.290369033813477 49.047298431396484, 20.290332794189453 49.047233581542969, 20.290008544921875 49.046737670898438, 20.289928436279297 49.0466194152832, 20.289649963378906 49.046150207519531, 20.289045333862305 49.045146942138672, 20.288848876953125 49.044807434082031, 20.288745880126953 49.044651031494141, 20.28864860534668 49.04449462890625, 20.288576126098633 49.044387817382812)"
4189721,Uherova,residential,,,,"LINESTRING (20.288576126098633 49.044387817382812, 20.288808822631836 49.044315338134766, 20.289194107055664 49.044227600097656)"
4189722,Pod lesom,tertiary,,,,"LINESTRING (20.241489410400391 48.996444702148438, 20.241632461547852 48.996536254882812, 20.241983413696289 48.9970817565918, 20.242053985595703 48.997554779052734, 20.242082595825195 48.997688293457031, 20.242250442504883 48.998443603515625, 20.242317199707031 48.998744964599609, 20.242477416992188 48.99908447265625, 20.242950439453125 48.999996185302734, 20.243076324462891 49.000698089599609, 20.24272346496582 49.003463745117188)"
4189869,,tertiary,,,,"LINESTRING (20.191560745239258 49.067386627197266, 20.19206428527832 49.066745758056641, 20.192514419555664 49.066143035888672, 20.192537307739258 49.066082000732422, 20.192626953125 49.065845489501953, 20.192726135253906 49.065593719482422, 20.1927433013916 49.0652961730957)"
4189870,,unclassified,,,,"LINESTRING (20.193309783935547 49.071193695068359, 20.193010330200195 49.070400238037109, 20.192659378051758 49.069671630859375, 20.19233512878418 49.069000244140625, 20.192008972167969 49.068321228027344, 20.191560745239258 49.067386627197266)"
4189872,,service,,,,"LINESTRING (20.192386627197266 49.070613861083984, 20.192501068115234 49.070980072021484, 20.192672729492188 49.0712890625, 20.193309783935547 49.071193695068359)"
4189873,,service,,,,"LINESTRING (20.193681716918945 49.072074890136719, 20.19392204284668 49.072586059570312, 20.195236206054688 49.072334289550781, 20.195186614990234 49.072181701660156, 20.19511604309082 49.071971893310547, 20.195039749145508 49.071746826171875)"
4189874,,residential,,,,"LINESTRING (20.18663215637207 49.072681427001953, 20.18693733215332 49.072475433349609)"
4189875,Osloboditeľov,tertiary,,,,"LINESTRING (20.191560745239258 49.067386627197266, 20.1909122467041 49.067966461181641, 20.190431594848633 49.068397521972656, 20.18785285949707 49.070774078369141, 20.187192916870117 49.0715217590332, 20.186990737915039 49.071891784667969, 20.18693733215332 49.071990966796875, 20.186767578125 49.072402954101562, 20.18663215637207 49.072681427001953)"
