WKT,name,waterway
"LINESTRING (20.2682718181622 48.98160581532,20.2704191 48.9823857,20.271728 48.9827096,20.2723932 48.9831039,20.2729082 48.9834701,20.2735734 48.9838362,20.2749038 48.9841601,20.2762341 48.9844417,20.2773714 48.9846107,20.2776017 48.9846548,20.2784014 48.9848079,20.2792811 48.9848924,20.2797746 48.9849909,20.2804613 48.9852303,20.280869 48.9853711,20.2814269 48.9855542,20.2819419 48.9857232,20.2820585 48.9860509,20.2826404 48.986181)",,stream
"LINESTRING (20.2697540454231 48.9815391154648,20.2698398 48.9816746,20.2704191 48.9823857)",,stream
"LINESTRING (20.2749878252888 48.9813035966829,20.2752042 48.9814985,20.2759981 48.9820407,20.2763736 48.9823998,20.2766526 48.982949,20.2768242 48.9833926,20.2768886 48.9836813,20.2770495 48.9840052,20.2774465 48.9843361,20.2776017 48.9846548)",,stream
"LINESTRING (20.2626943 48.9895532,20.2635097 48.9897503,20.263896 48.9895391,20.264883 48.9897222,20.2654409 48.9899756,20.2659774 48.9899193,20.2662563 48.9902854,20.2672219 48.990046,20.268209 48.9900742,20.2690244 48.9901164,20.2701831 48.9902291,20.2709985 48.9896095,20.2719641 48.9896799,20.272243 48.9896799,20.2740884 48.9896095,20.2758693 48.9893842,20.2792382 48.9894265,20.2807188 48.9895814,20.2837658 48.9894687,20.2868986 48.990046,20.2885508 48.9904332)",,stream
"LINESTRING (20.2883223130779 48.980703548075,20.2885294 48.980893,20.2896666 48.9814985,20.2906751 48.9821041,20.292145 48.9833926,20.2923596 48.9837728,20.2924561 48.9852514,20.2924561 48.9857725,20.2919519 48.9869905,20.2917373 48.9877086,20.2908575 48.9887084,20.2898919 48.9896447,20.2891261 48.990732,20.2891624 48.9910176)",,stream
"LINESTRING (20.2533536 49.0744479,20.2545659 49.0740895,20.2550916 49.0733304,20.2552633 49.072487,20.2556348 49.0715325)",,stream
"LINESTRING (20.2829021 49.1017617,20.2869811 49.100507,20.2892779 49.0997245,20.2957109 49.0976765,20.2969434 49.0975237,20.2975409 49.0972914,20.2979144 49.097108,20.3035444 49.0960687,20.3075355583006 49.0956014691141)",,stream
"LINESTRING (20.2828885 49.0183983,20.2828994 49.0184216,20.2829797 49.0184732,20.2831623 49.0185399,20.283224 49.0186209,20.2831945 49.0187545,20.2831864 49.0188548,20.2831677 49.0190184,20.2831569 49.0195127,20.2831086 49.0197537,20.2830765 49.0199577,20.2830121 49.0201582,20.2829477 49.0203711,20.2828351 49.0205821,20.282658 49.0207721,20.2824408 49.0207985,20.2823013 49.020846,20.2822047 49.0210553,20.2821511 49.021203,20.2821135 49.0213103,20.2819124 49.021437,20.2817595 49.0215935,20.2817193 49.0216973,20.2816468 49.0220684,20.2815556 49.0222602,20.2814189 49.0225715,20.281333 49.0227632,20.2811882 49.0229373,20.2806437 49.0233296,20.280346 49.0234738,20.2798176 49.0238115,20.2794689 49.0240841,20.2792329 49.0242688,20.2790585 49.0244376,20.2789298 49.0245713,20.2788359 49.0247384,20.2786679 49.0250054,20.278573 49.0251236,20.2783665 49.0252449,20.2783155 49.025354,20.2784336 49.0255017,20.2785435 49.0255808,20.2786615 49.0256829,20.2787957 49.0257638,20.2788734 49.0258535,20.2789727 49.0259713,20.2791417 49.0262421,20.2793616 49.0267029,20.2794877 49.0269439,20.2795896 49.0271092,20.2798068 49.0275454,20.2799624 49.0278356,20.2801689 49.0282225,20.2803647 49.0285935,20.2809119 49.0296452,20.2812767 49.0303663,20.2816898 49.0311576,20.2819043 49.0316571,20.2820331 49.031942,20.2821726 49.0321495,20.2825588 49.0323042,20.2829128 49.0323921,20.2835244 49.0323499,20.2841681 49.0322374,20.2848655 49.0321178,20.2865553 49.0318646,20.2874619 49.0317344,20.2881646 49.0316711,20.288583 49.0315938,20.2889961 49.0314601,20.2891785 49.0314003,20.2905196 49.0308165,20.2912813 49.030412,20.2916676 49.0302291,20.2923596 49.0299864,20.2928102 49.0297261,20.2933681 49.0293814,20.2952778 49.0282172,20.2958411 49.0278338,20.2964363 49.0275855,20.2980298 49.0269404,20.2985448 49.0268243,20.298931 49.0267891,20.2994513 49.0269228,20.2998054 49.027067,20.2999985 49.0270951,20.3002318313792 49.0271488175751)",,stream
"LINESTRING (20.294795 49.0216252,20.2956211 49.0218785,20.2963507 49.0221036,20.2969623 49.0223921,20.2973914 49.0225469,20.2976382 49.0229197,20.2982283 49.0231449,20.2987087 49.0233242,20.2992582 49.0236374,20.299871881481 49.0237752625093)",,stream
"LINESTRING (20.2556348 49.0715325,20.2558691 49.0710021,20.2562503 49.070273,20.2563469 49.0698372,20.2574734 49.0694576,20.2583014 49.0692213)",,stream
