Id, Rail Type, Bridge, Geometry
4815817,funicular,,"LINESTRING (20.220439910888672 49.141609191894531, 20.219806671142578 49.142562866210938, 20.219570159912109 49.1430778503418, 20.219507217407227 49.143600463867188, 20.21959114074707 49.144107818603516, 20.219688415527344 49.144367218017578, 20.219806671142578 49.144573211669922, 20.220033645629883 49.144878387451172, 20.222230911254883 49.1471061706543, 20.222579956054688 49.147544860839844, 20.222753524780273 49.147869110107422, 20.222888946533203 49.148349761962891, 20.222885131835938 49.148830413818359, 20.222789764404297 49.149364471435547, 20.222782135009766 49.149379730224609, 20.222766876220703 49.1494026184082, 20.222761154174805 49.149417877197266, 20.222686767578125 49.149868011474609, 20.222688674926758 49.149883270263672, 20.222694396972656 49.14990234375, 20.222698211669922 49.149921417236328, 20.222455978393555 49.151176452636719, 20.222377777099609 49.151931762695312, 20.222391128540039 49.152328491210938, 20.222589492797852 49.153076171875, 20.222732543945312 49.153366088867188, 20.222938537597656 49.153739929199219, 20.223262786865234 49.154182434082031, 20.223485946655273 49.154541015625, 20.223678588867188 49.154926300048828, 20.224643707275391 49.158088684082031)"
4817464,rail,,"LINESTRING (20.309823989868164 49.057357788085938, 20.309761047363281 49.057407379150391, 20.309450149536133 49.057666778564453, 20.309015274047852 49.057960510253906, 20.308431625366211 49.058273315429688)"
4817611,rail,yes,"LINESTRING (20.308431625366211 49.058273315429688, 20.307979583740234 49.058448791503906)"
4817612,rail,yes,"LINESTRING (20.30769157409668 49.058540344238281, 20.307205200195312 49.058700561523438)"
4817613,rail,,"LINESTRING (20.307979583740234 49.058448791503906, 20.30769157409668 49.058540344238281)"
27877381,light_rail,yes,"LINESTRING (20.2952823638916 49.060733795166016, 20.295379638671875 49.061264038085938, 20.295574188232422 49.06231689453125, 20.295677185058594 49.062965393066406, 20.295751571655273 49.063411712646484)"
27877512,light_rail,,"LINESTRING (20.067413330078125 49.118606567382812, 20.067285537719727 49.118705749511719, 20.066926956176758 49.118946075439453, 20.066745758056641 49.119037628173828, 20.066614151000977 49.119083404541016, 20.066446304321289 49.119121551513672, 20.066274642944336 49.119148254394531, 20.06608772277832 49.119148254394531, 20.065860748291016 49.1191291809082, 20.065689086914062 49.119106292724609, 20.06544303894043 49.119064331054688)"
27877513,light_rail,yes,"LINESTRING (20.068746566772461 49.118556976318359, 20.068517684936523 49.118476867675781, 20.068334579467773 49.118434906005859, 20.068181991577148 49.118423461914062, 20.068044662475586 49.118431091308594, 20.067899703979492 49.118446350097656, 20.067720413208008 49.118484497070312, 20.067619323730469 49.118515014648438, 20.067514419555664 49.118553161621094, 20.067413330078125 49.118606567382812)"
27877531,narrow_gauge,,"LINESTRING (20.062808990478516 49.117691040039062, 20.06207275390625 49.117294311523438, 20.061614990234375 49.117099761962891, 20.061367034912109 49.116859436035156, 20.061248779296875 49.116729736328125, 20.061187744140625 49.116630554199219, 20.061140060424805 49.116497039794922, 20.061132431030273 49.116367340087891, 20.06114387512207 49.11627197265625, 20.061193466186523 49.116138458251953, 20.061342239379883 49.116008758544922, 20.061470031738281 49.115871429443359, 20.061666488647461 49.115737915039062, 20.061916351318359 49.115596771240234, 20.06230354309082 49.115291595458984, 20.06242561340332 49.115062713623047, 20.0626277923584 49.114582061767578, 20.062820434570312 49.1141471862793, 20.063295364379883 49.113315582275391, 20.063503265380859 49.112934112548828, 20.063602447509766 49.112598419189453, 20.063652038574219 49.112468719482422, 20.06367301940918 49.112308502197266, 20.063661575317383 49.112152099609375, 20.063638687133789 49.112060546875, 20.063556671142578 49.111934661865234, 20.063474655151367 49.111824035644531, 20.063358306884766 49.111740112304688, 20.0629825592041 49.111469268798828, 20.062658309936523 49.111248016357422, 20.062496185302734 49.111057281494141, 20.062393188476562 49.11090087890625, 20.062322616577148 49.110752105712891, 20.062292098999023 49.110618591308594, 20.062292098999023 49.110496520996094, 20.062356948852539 49.1103630065918, 20.062397003173828 49.110244750976562, 20.063480377197266 49.107929229736328)"
27891144,light_rail,,"LINESTRING (20.06544303894043 49.119064331054688, 20.06513786315918 49.119014739990234, 20.064990997314453 49.118984222412109, 20.06489372253418 49.118961334228516, 20.064748764038086 49.1189079284668, 20.064504623413086 49.118801116943359, 20.063974380493164 49.118556976318359, 20.063596725463867 49.118385314941406)"
27891145,light_rail,,"LINESTRING (20.063858032226562 49.118598937988281, 20.0644588470459 49.118877410888672, 20.064626693725586 49.118938446044922, 20.064807891845703 49.118984222412109, 20.06513786315918 49.119014739990234)"
27917630,light_rail,,"LINESTRING (20.295848846435547 49.063884735107422, 20.295871734619141 49.063987731933594, 20.295925140380859 49.064224243164062, 20.295974731445312 49.0644645690918, 20.296037673950195 49.064590454101562, 20.296138763427734 49.064750671386719, 20.296237945556641 49.064872741699219, 20.296451568603516 49.0650749206543, 20.297063827514648 49.06561279296875, 20.298130035400391 49.066520690917969, 20.29888916015625 49.067176818847656, 20.29913330078125 49.067466735839844, 20.29932975769043 49.067806243896484, 20.29945182800293 49.068172454833984, 20.299524307250977 49.068496704101562, 20.299516677856445 49.068778991699219, 20.299442291259766 49.069110870361328, 20.29932975769043 49.069427490234375, 20.299158096313477 49.0697135925293, 20.29890251159668 49.070030212402344, 20.298612594604492 49.0703010559082, 20.2983341217041 49.070510864257812, 20.297927856445312 49.070728302001953, 20.297290802001953 49.07098388671875, 20.288227081298828 49.0737190246582, 20.285331726074219 49.0745964050293, 20.283035278320312 49.075351715087891)"
27917633,light_rail,yes,"LINESTRING (20.295751571655273 49.063411712646484, 20.295797348022461 49.063636779785156, 20.295848846435547 49.063884735107422)"
27917634,light_rail,yes,"LINESTRING (20.295797348022461 49.063636779785156, 20.295833587646484 49.063369750976562)"
27917635,light_rail,,"LINESTRING (20.295833587646484 49.063369750976562, 20.295871734619141 49.063205718994141, 20.295934677124023 49.062984466552734, 20.296037673950195 49.062728881835938, 20.296165466308594 49.062454223632812, 20.296257019042969 49.0622673034668, 20.296279907226562 49.062156677246094, 20.296247482299805 49.062030792236328, 20.296220779418945 49.061962127685547, 20.296199798583984 49.061912536621094, 20.29615592956543 49.061836242675781, 20.296052932739258 49.061744689941406, 20.295864105224609 49.0616340637207, 20.295679092407227 49.061565399169922, 20.295568466186523 49.061542510986328, 20.295255661010742 49.061508178710938, 20.295009613037109 49.061492919921875, 20.294830322265625 49.061470031738281, 20.2944278717041 49.0614128112793, 20.294059753417969 49.061317443847656, 20.293621063232422 49.061149597167969, 20.293291091918945 49.060981750488281, 20.29296875 49.060810089111328, 20.29265022277832 49.060638427734375, 20.292434692382812 49.060562133789062, 20.292181015014648 49.060531616210938, 20.291830062866211 49.060546875, 20.291139602661133 49.060596466064453, 20.288692474365234 49.060771942138672, 20.288276672363281 49.060771942138672, 20.287561416625977 49.060726165771484, 20.286962509155273 49.060787200927734, 20.286798477172852 49.060848236083984, 20.2863826751709 49.061126708984375, 20.285732269287109 49.0612678527832, 20.285429000854492 49.061367034912109, 20.284652709960938 49.061710357666016, 20.28447151184082 49.061759948730469, 20.283514022827148 49.061832427978516, 20.283233642578125 49.061805725097656, 20.282855987548828 49.061695098876953, 20.282510757446289 49.061580657958984, 20.282022476196289 49.061477661132812, 20.281742095947266 49.061470031738281, 20.281108856201172 49.061515808105469)"
27917757,light_rail,yes,"LINESTRING (20.295574188232422 49.06231689453125, 20.295585632324219 49.061897277832031, 20.295476913452148 49.061244964599609, 20.295413970947266 49.060890197753906, 20.295381546020508 49.060733795166016)"
27917960,rail,,"LINESTRING (20.294885635375977 49.060028076171875, 20.292318344116211 49.060226440429688, 20.289096832275391 49.060432434082031, 20.288602828979492 49.060462951660156)"
27917961,rail,,"LINESTRING (20.300495147705078 49.059604644775391, 20.300312042236328 49.059619903564453, 20.300027847290039 49.059638977050781)"
27932488,narrow_gauge,yes,"LINESTRING (20.063480377197266 49.107929229736328, 20.063703536987305 49.107444763183594)"
