Id,Name,Geometry,Info
24,No Name 616,"LINESTRING (20.1600475309621 49.0317573575452, 20.1605434412542 49.0324707041642)",Gravel Road (NetInfo)
50,No Name 3389,"LINESTRING (20.178888320865 49.0630645770049, 20.1789855955307 49.0633697527871)",Gravel Road (NetInfo)
60,No Name 3704,"LINESTRING (20.1603965763702 49.0708313007495, 20.160543442199 49.0709114092344)",Gravel Road (NetInfo)
66,No Name 4218,"LINESTRING (20.1453876496236 49.0542678850157, 20.1457214341918 49.0542755146407)",Basic Road (NetInfo)
84,No Name 345,"LINESTRING (20.1431236253473 49.0640716571227, 20.1432743064106 49.0639724749208)",HighwayRamp (NetInfo)
91,No Name 1463,"LINESTRING (20.1697120660962 49.0520286581515, 20.1713886263751 49.0539016741878)",Basic Road (NetInfo)
117,No Name 3705,"LINESTRING (20.1886615753823 49.0659484882441, 20.1902523041074 49.0655059831529)",Basic Road (NetInfo)
142,No Name 1002,"LINESTRING (20.1925601959465 49.0216560374078, 20.1925563812432 49.0214118967506)",Gravel Road (NetInfo)
156,No Name 3705,"LINESTRING (20.1902523041074 49.0655059831529, 20.1905956270022 49.0654487627684)",Basic Road (NetInfo)
167,No Name 618,"LINESTRING (20.1642055516776 49.0379943875915, 20.163530349333 49.0382270838437)",Basic Road (NetInfo)
177,No Name 975,"LINESTRING (20.1415042878442 49.0426483170396, 20.1415920260003 49.0425796528305)",Gravel Road (NetInfo)
202,Lesná,"LINESTRING (20.1436767593847 49.0521430988329, 20.1438751221498 49.052257539185)",Basic Road (NetInfo)
219,No Name 809,"LINESTRING (20.1440944684407 49.0633010882344, 20.1442298889377 49.0632324236966)",HighwayRamp (NetInfo)
221,No Name 1004,"LINESTRING (20.1783962253354 49.0359878559458, 20.1783828738627 49.0360870385013)",Gravel Road (NetInfo)
230,No Name 3387,"LINESTRING (20.1624851233039 49.0620460528282, 20.1616687774984 49.0622634905957)",Gravel Road (NetInfo)
251,Tunel Bôrik,"LINESTRING (20.150352476779 49.0647888201008, 20.1495800014427 49.0646400469832)",Highway (NetInfo)
254,No Name 102,"LINESTRING (20.147954941403 49.0615234393041, 20.1478446877801 49.0615865468121, 20.1477250243297 49.0616548329717, 20.1477250243297 49.0616548329717, 20.1475639326335 49.0617485063645)",Large Road (NetInfo)
