Id,Boundary,Zone
2,"POLYGON ((20.1402122809273 49.0650861163262, 20.1400344991205 49.0648230456876, 20.1394339692041 49.0649982752999, 20.1396117484392 49.0652613469786, 20.1402122809273 49.0650861163262))",Unzoned
15,"POLYGON ((20.1789488437632 49.039031971018, 20.1793240950797 49.0391802623316, 20.1796624318383 49.0388102036271, 20.1792871818552 49.0386619134109, 20.1789488437632 49.039031971018))",Unzoned
21,"POLYGON ((20.1441631984069 49.0716838717245, 20.1441434955704 49.0713963206805, 20.1435964172976 49.0714124983918, 20.1436161169803 49.0717000495108, 20.1441631984069 49.0716838717245))",Unzoned
33,"POLYGON ((20.1773856640351 49.0695486830703, 20.1775609532263 49.0698124814819, 20.1779624509505 49.0696973092065, 20.1777871600234 49.0694335113903, 20.1773856640351 49.0695486830703))",Unzoned
42,"POLYGON ((20.1323470339636 49.0680944198133, 20.1321107841266 49.0678520207178, 20.1314651769135 49.0681236673611, 20.131701424863 49.0683660677563, 20.1323470339636 49.0680944198133))",Unzoned
54,"POLYGON ((20.1453973006787 49.0716916200237, 20.1454296482637 49.071404563322, 20.1447742826416 49.0713726792069, 20.1447419313059 49.0716597357056, 20.1453973006787 49.0716916200237))",Unzoned
63,"POLYGON ((20.142717041818 49.0423427757079, 20.1429622782846 49.0425812348824, 20.1430529646442 49.0425409313992, 20.1428077279372 49.0423024724144, 20.142717041818 49.0423427757079))",Unzoned
89,"POLYGON ((20.1672095312505 49.0492371236563, 20.1668293393903 49.0493799617427, 20.1669379933962 49.0495049131984, 20.1673181859069 49.0493620747606, 20.1672095312505 49.0492371236563))",Unzoned
110,"POLYGON ((20.1405034555398 49.0652782644197, 20.140304339429 49.0650218771927, 20.1400117004126 49.06512000591, 20.1402108153966 49.0653763936313, 20.1405034555398 49.0652782644197))",Unzoned
135,"POLYGON ((20.191864115334 49.0681274609378, 20.1916709747424 49.0678691013843, 20.1908845609654 49.0681229072535, 20.1910776984309 49.0683812680954, 20.191864115334 49.0681274609378))",Unzoned
141,"POLYGON ((20.1922291385661 49.0614633767594, 20.1917913681211 49.0614536176447, 20.1917616636607 49.0620289752627, 20.1921994391511 49.0620387345157, 20.1922291385661 49.0614633767594))",Unzoned
153,"POLYGON ((20.1594902445446 49.0422869315458, 20.159180914281 49.0420832151824, 20.1591034438696 49.0421340552389, 20.1594127741268 49.0423377718081, 20.1594902445446 49.0422869315458))",Unzoned
160,"POLYGON ((20.1417908489851 49.0665550183295, 20.1419162587852 49.0668308140321, 20.1422310605623 49.0667690117668, 20.1421056491665 49.0664932163945, 20.1417908489851 49.0665550183295))",Unzoned
163,"POLYGON ((20.1377671365617 49.0531704929219, 20.1380987416537 49.0529824751287, 20.1380272272437 49.052927986713, 20.1376956222498 49.053116004303, 20.1377671365617 49.0531704929219))",Unzoned
170,"POLYGON ((20.1513711867509 49.0717447359783, 20.1517225825009 49.0719166430319, 20.1520496410696 49.0716280529099, 20.1516982462011 49.0714561468486, 20.1513711867509 49.0717447359783))",Unzoned
