Id, Road Name, Road Type, One Way, Lanes, Geometry
4189869,,tertiary,,,"LINESTRING (20.191560745239258 49.067386627197266, 20.19206428527832 49.066745758056641, 20.192514419555664 49.066143035888672, 20.192537307739258 49.066082000732422, 20.192626953125 49.065845489501953, 20.192726135253906 49.065593719482422, 20.1927433013916 49.0652961730957)"
4189870,,unclassified,,,"LINESTRING (20.193309783935547 49.071193695068359, 20.193010330200195 49.070400238037109, 20.192659378051758 49.069671630859375, 20.19233512878418 49.069000244140625, 20.192008972167969 49.068321228027344, 20.191560745239258 49.067386627197266)"
4189872,,service,,,"LINESTRING (20.192386627197266 49.070613861083984, 20.192501068115234 49.070980072021484, 20.192672729492188 49.0712890625, 20.193309783935547 49.071193695068359)"
4189873,,service,,,"LINESTRING (20.193681716918945 49.072074890136719, 20.19392204284668 49.072586059570312, 20.195236206054688 49.072334289550781, 20.195186614990234 49.072181701660156, 20.19511604309082 49.071971893310547, 20.195039749145508 49.071746826171875)"
4189874,,residential,,,"LINESTRING (20.18663215637207 49.072681427001953, 20.18693733215332 49.072475433349609)"
4189875,Osloboditeľov,tertiary,,,"LINESTRING (20.191560745239258 49.067386627197266, 20.1909122467041 49.067966461181641, 20.190431594848633 49.068397521972656, 20.18785285949707 49.070774078369141, 20.187192916870117 49.0715217590332, 20.186990737915039 49.071891784667969, 20.18693733215332 49.071990966796875, 20.186767578125 49.072402954101562, 20.18663215637207 49.072681427001953)"
4189876,Osloboditeľov,residential,,,"LINESTRING (20.18663215637207 49.072681427001953, 20.186325073242188 49.073337554931641, 20.185876846313477 49.074150085449219)"
4189877,,residential,,,"LINESTRING (20.184446334838867 49.071994781494141, 20.184026718139648 49.072364807128906, 20.183437347412109 49.072723388671875, 20.182720184326172 49.073146820068359)"
4189878,Kukučínova,residential,,,"LINESTRING (20.184358596801758 49.074039459228516, 20.183120727539062 49.07342529296875, 20.182720184326172 49.073146820068359)"
4189879,,residential,,,"LINESTRING (20.185764312744141 49.074386596679688, 20.184640884399414 49.074176788330078, 20.184358596801758 49.074039459228516)"
4189881,Jurkovičova,residential,,,"LINESTRING (20.176229476928711 49.078571319580078, 20.177099227905273 49.078250885009766, 20.177186965942383 49.078227996826172, 20.17767333984375 49.078151702880859, 20.178003311157227 49.078166961669922, 20.178434371948242 49.078144073486328, 20.179285049438477 49.077968597412109, 20.180036544799805 49.0777702331543, 20.180992126464844 49.077522277832031, 20.183042526245117 49.077114105224609, 20.183650970458984 49.076950073242188, 20.184314727783203 49.076686859130859, 20.185615539550781 49.076122283935547, 20.185630798339844 49.076068878173828, 20.184839248657227 49.074851989746094)"
4189883,,residential,,,"LINESTRING (20.184446334838867 49.071994781494141, 20.186220169067383 49.0726432800293)"
4189884,Komenského,residential,,,"LINESTRING (20.182720184326172 49.073146820068359, 20.1822452545166 49.073360443115234, 20.182132720947266 49.07342529296875, 20.18104362487793 49.0740966796875)"
4189885,,residential,,,"LINESTRING (20.1822452545166 49.073360443115234, 20.18211555480957 49.0732307434082, 20.181425094604492 49.07269287109375, 20.180652618408203 49.072116851806641)"
4189886,,residential,,,"LINESTRING (20.184446334838867 49.071994781494141, 20.184541702270508 49.071914672851562, 20.185209274291992 49.071212768554688)"
4851676,Záhradná,residential,no,,"LINESTRING (20.18693733215332 49.072475433349609, 20.187137603759766 49.072364807128906, 20.189785003662109 49.071483612060547, 20.192386627197266 49.070613861083984, 20.193010330200195 49.070400238037109)"
8279700,,tertiary,,,"LINESTRING (20.187417984008789 49.0738525390625, 20.187355041503906 49.073795318603516, 20.18730354309082 49.073734283447266, 20.187259674072266 49.07366943359375, 20.187156677246094 49.073551177978516, 20.187047958374023 49.073410034179688, 20.186901092529297 49.07318115234375, 20.186746597290039 49.072917938232422, 20.18663215637207 49.072681427001953)"
8279701,Nálepkova,residential,,,"LINESTRING (20.184358596801758 49.074039459228516, 20.185331344604492 49.073310852050781, 20.186220169067383 49.0726432800293, 20.18678092956543 49.071941375732422, 20.18693733215332 49.071990966796875)"
23444150,Slovenského Národného Povstania,residential,,2,"LINESTRING (20.198892593383789 49.0569953918457, 20.198654174804688 49.058246612548828, 20.198642730712891 49.058303833007812)"
